id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
andrew_prevel,Andrew Prevel,Andrew Prevel,,,,None,none,,,Chief Pleas,2015,,,,
anthony_granville_ventress,Anthony Granville Ventress,Anthony Granville Ventress,,,,None,none,,,Chief Pleas,2015,,,,
antony_dunks,Antony Dunks,Antony Dunks,,,,None,none,,,Chief Pleas,2015,,,,
arthur_rolfe,Arthur Rolfe,Arthur Rolfe,,,,None,none,,,Chief Pleas,2015,,,,
charles_noel_donald_maitland,Charles Noel Donald Maitland,Charles Noel Donald Maitland,,,,None,none,,,Chief Pleas,2015,,,,
christine_dorothy_audrain,Christine Dorothy Audrain,Christine Dorothy Audrain,,,,None,none,,,Chief Pleas,2015,,,,
christopher_robert_nightingale,Christopher Robert Nightingale,Christopher Robert Nightingale,,,,None,none,,,Chief Pleas,2015,,,,
colin_golds,Colin Golds,Colin Golds,,,,None,none,,,Chief Pleas,2015,,,,
diane_baker,Diane Baker,Diane Baker,,,,None,none,,,Chief Pleas,2015,,,,
edric_baker,Edric Baker,Edric Baker,,,,None,none,,,Chief Pleas,2015,,,,
elizabeth_mary_dewe,Elizabeth Mary Dewe,Elizabeth Mary Dewe,,,,None,none,,,Chief Pleas,2015,,,,
elizabeth_norwich,Elizabeth Norwich,Elizabeth Norwich,,,,None,none,,,Chief Pleas,2015,,,,
elsie_courtney,Elsie Courtney,Elsie Courtney,,,,None,none,,,Chief Pleas,2015,,,,
hazel_fry,Hazel Fry,Hazel Fry,,,,None,none,,,Chief Pleas,2015,,,,
helen_mildred_plummer,Helen Mildred Plummer,Helen Mildred Plummer,,,,None,none,,,Chief Pleas,2015,,,,
karen_adams,Karen Adams,Karen Adams,,,,None,none,,,Chief Pleas,2015,,,,
margaret_mallinson,Margaret Mallinson,Margaret Mallinson,,,,None,none,,,Chief Pleas,2015,,,,
michael_mann,Michael Mann,Michael Mann,,,,None,none,,,Chief Pleas,2015,,,,
nicolas_moloney,Nicolas Moloney,Nicolas Moloney,,,,None,none,,,Chief Pleas,2015,,,,
paul_burgess,Paul Burgess,Paul Burgess,,,,None,none,,,Chief Pleas,2015,,,,
paul_williams,Paul Williams,Paul Williams,,,,None,none,,,Chief Pleas,2015,,,,
peter_byrne,Peter Byrne,Peter Byrne,,,,None,none,,,Chief Pleas,2015,,,,
richard_james_dewe,Richard James Dewe,Richard James Dewe,,,,None,none,,,Chief Pleas,2015,,,,
robert_cottle,Robert Cottle,Robert Cottle,,,,None,none,,,Chief Pleas,2015,,,,
roger_norwich,Roger Norwich,Roger Norwich,,,,None,none,,,Chief Pleas,2015,,,,
rosanne_byrne,Rosanne Byrne,Rosanne Byrne,,,,None,none,,,Chief Pleas,2015,,,,
sandra_williams,Sandra Williams,Sandra Williams,,,,None,none,,,Chief Pleas,2015,,,,
stephen_taylor,Stephen Taylor,Stephen Taylor,,,,None,none,,,Chief Pleas,2015,,,,
william_raymond,William Raymond,William Raymond,,,,None,none,,,Chief Pleas,2015,,,,
