id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
AAMO,Aase Moløkken,,,,Arbeiderpartiet,A,Bu,Buskerud,Storting,1981-85,,,,female
AKFO,Aksel Fossen,,,,Arbeiderpartiet,A,Ho,Hordaland,Storting,1981-85,,,,male
ALBJ,Alf Martin Bjørnø,,,,Arbeiderpartiet,A,Ve,Vestfold,Storting,1981-85,,,,male
AMSÆ,Ambjørg Sælthun,,,,Senterpartiet,Sp,SF,Sogn og Fjordane,Storting,1981-85,,,,female
ANT,Anders Talleraas,,,,Høyre,H,MR,Møre og Romsdal,Storting,1981-85,,,,male
ANBA,Anne-Lise Bakken,,,,Arbeiderpartiet,A,He,Hedmark,Storting,1981-85,,,,female
ARHE,Arent M. Henriksen,,,,Sosialistisk Venstreparti,SV,ST,Sør-Trøndelag,Storting,1981-85,,,,male
ARAS,Arne Alsåker Spilde,,,,Høyre,H,Ho,Hordaland,Storting,1981-85,,,,male
ARNI,Arne Nilsen,,,,Arbeiderpartiet,A,Ho,Hordaland,Storting,1981-85,,,,male
ARSK,Arne Skauge,,,,Høyre,H,Ho,Hordaland,Storting,1981-85,,,,male
ARNW,Arnljot Norwich,,,,Høyre,H,Tr,Troms,Storting,1981-85,,,,male
ARWE,Arnold Weiberg-Aurdal,,,,Senterpartiet,Sp,MR,Møre og Romsdal,Storting,1981-85,,,,male
ARBE,Arve Berg,,,,Arbeiderpartiet,A,MR,Møre og Romsdal,Storting,1981-85,,,,male
ASHA,Asbjørn Haugstvedt,,,,Kristelig Folkeparti,KrF,Ho,Hordaland,Storting,1981-85,,,,male
ASSJ,Asbjørn Sjøthun,,,,Arbeiderpartiet,A,Tr,Troms,Storting,1981-85,,,,male
ASFR,Aslaug Fredriksen,,,,Kristelig Folkeparti,KrF,MR,Møre og Romsdal,Storting,1981-85,,,,female
ASGJ,Astrid Gjertsen,,,,Høyre,H,AA,Aust-Agder,Storting,1981-85,,,,female
ASMA,Astrid Murberg Martinsen,,,,Arbeiderpartiet,A,Ve,Vestfold,Storting,1981-85,,,,female
BJEI,Bjarne Mørk-Eidem,,,,Arbeiderpartiet,A,No,Nordland,Storting,1981-85,,,,male
BJYT,Bjørn Erling Ytterhorn,,,,Fremskrittspartiet,FrP,Ho,Hordaland,Storting,1981-85,,,,male
BKH,Brit Hoel,,,,Arbeiderpartiet,A,AA,Aust-Agder,Storting,1981-85,,,,female
CALO,Carl Fredrik Lowzow,,,,Høyre,H,Ak,Akershus,Storting,1981-85,,,,male
CIH,Carl I. Hagen,,,,Fremskrittspartiet,FrP,Os,Oslo,Storting,1981-85,,,http://data.stortinget.no/eksport/personbilde?personid=CIH&storrelse=middels,male
CHER,Christian Erlandsen,,,,Høyre,H,He,Hedmark,Storting,1981-85,,,,male
CLFE,Claus Egil Feyling,,,,Høyre,H,Ro,Rogaland,Storting,1981-85,,,,male
EIFØ,Einar Førde,,,,Arbeiderpartiet,A,Ak,Akershus,Storting,1981-85,,,,male
EIBO,Eivind Bolle,,,,Arbeiderpartiet,A,No,Nordland,Storting,1981-85,,,,male
ELKO,Elsa Kobberstad,,,,Høyre,H,No,Nordland,Storting,1981-85,,,,female
ENLI,Engly Lie,,,,Arbeiderpartiet,A,VA,Vest-Agder,Storting,1981-85,,,,male
ED,Erik Dalheim,,,,Arbeiderpartiet,A,Bu,Buskerud,Storting,1981-85,,,http://data.stortinget.no/eksport/personbilde?personid=ED&storrelse=middels,male
ERWR,Ernst Wroldsen,,,,Arbeiderpartiet,A,Ve,Vestfold,Storting,1981-85,,,,male
FIKR,Finn Kristensen,,,,Arbeiderpartiet,A,Te,Telemark,Storting,1981-85,,,,male
FFG,Fridtjof Frank Gundersen,,,,Uavhengig representant,Uav,Ak,Akershus,Storting,1981-85,,,http://data.stortinget.no/eksport/personbilde?personid=FFG&storrelse=middels,male
GEAP,Georg Apenes,,,,Høyre,H,Øs,Østfold,Storting,1981-85,,,,male
GK,Grete Knudsen,,,,Arbeiderpartiet,A,Ho,Hordaland,Storting,1981-85,,,http://data.stortinget.no/eksport/personbilde?personid=GK&storrelse=middels,female
GRVÆ,Grethe Kathrine Værnø,,,,Høyre,H,Os,Oslo,Storting,1981-85,,,,female
GHB,Gro Harlem Brundtland,,,,Arbeiderpartiet,A,Os,Oslo,Storting,1981-85,,,,female
GUOL,Gunn Vigdis Olsen-Hagen,,,,Arbeiderpartiet,A,Ro,Rogaland,Storting,1981-85,,,,female
GUB,Gunnar Berge,,,,Arbeiderpartiet,A,Ro,Rogaland,Storting,1981-85,,,,male
GS,Gunnar Skaug,,,,Arbeiderpartiet,A,Øs,Østfold,Storting,1981-85,,,http://data.stortinget.no/eksport/personbilde?personid=GS&storrelse=middels,male
GUVA,Gunnar Vada,,,,Høyre,H,NT,Nord-Trøndelag,Storting,1981-85,,,,male
GUSC,Gunvor Margaret Schnitler,,,,Høyre,H,ST,Sør-Trøndelag,Storting,1981-85,,,,female
GUHA,Guttorm Hansen,,,,Arbeiderpartiet,A,NT,Nord-Trøndelag,Storting,1981-85,,,,male
HBL,Haakon Blankenborg,,,,Arbeiderpartiet,A,Op,Oppland,Storting,1981-85,,,http://data.stortinget.no/eksport/personbilde?personid=HBL&storrelse=middels,male
HBA,Hallvard Bakke,,,,Arbeiderpartiet,A,Ho,Hordaland,Storting,1981-85,,,,male
HAKV,Hanna Kvanmo,,,,Sosialistisk Venstreparti,SV,No,Nordland,Storting,1981-85,,,,female
HAST,Hans E. Strand,,,,Høyre,H,Bu,Buskerud,Storting,1981-85,,,,male
HAFR,Hans Frette,,,,Arbeiderpartiet,A,Ro,Rogaland,Storting,1981-85,,,,male
HARO,Hans Hammond Rossbach,,,,Venstre,V,MR,Møre og Romsdal,Storting,1981-85,,,,male
HATU,Hans Olav Tungesvik,,,,Kristelig Folkeparti,KrF,Ho,Hordaland,Storting,1981-85,,,,male
HASG,Hans Svendsgård,,,,Høyre,H,No,Nordland,Storting,1981-85,,,,male
HRSY,Harald Synnes,,,,Kristelig Folkeparti,KrF,VA,Vest-Agder,Storting,1981-85,,,,male
HALI,Harald U. Lied,,,,Høyre,H,Op,Oppland,Storting,1981-85,,,,male
HADA,Harry Danielsen,,,,Høyre,H,No,Nordland,Storting,1981-85,,,,male
HEBØ,Helen Marie Bøsterud,,,,Arbeiderpartiet,A,Ak,Akershus,Storting,1981-85,,,,female
HEEI,Hermund Eian,,,,Høyre,H,ST,Sør-Trøndelag,Storting,1981-85,,,,male
HÅRA,Håkon Randal,,,,Høyre,H,Ho,Hordaland,Storting,1981-85,,,,male
INBO,Ingeborg Botnen,,,,Arbeiderpartiet,A,Te,Telemark,Storting,1981-85,,,,female
INKO,Inger Koppernæs,,,,Høyre,H,MR,Møre og Romsdal,Storting,1981-85,,,,female
INGJ,Inger Lise Gjørv,,,,Arbeiderpartiet,A,NT,Nord-Trøndelag,Storting,1981-85,,,,female
INSA,Inger-Lise Skarstein,,,,Høyre,H,Ho,Hordaland,Storting,1981-85,,,,female
INWI,Ingrid I. Willoch,,,,Høyre,H,Ve,Vestfold,Storting,1981-85,,,,female
INBA,Ingvar Bakken,,,,Arbeiderpartiet,A,Øs,Østfold,Storting,1981-85,,,,male
JAAA,Jakob Aano,,,,Kristelig Folkeparti,KrF,Ro,Rogaland,Storting,1981-85,,,,male
JPS,Jan P. Syse,,,,Høyre,H,Os,Oslo,Storting,1981-85,,,,male
JP,Jan Petersen,,,,Høyre,H,Ak,Akershus,Storting,1981-85,,,http://data.stortinget.no/eksport/personbilde?personid=JP&storrelse=middels,male
JEMA,Jens Marcussen,,,,Fremskrittspartiet,FrP,Ro,Rogaland,Storting,1981-85,,,,male
JEFL,Jens P. Flå,,,,Kristelig Folkeparti,KrF,ST,Sør-Trøndelag,Storting,1981-85,,,,male
JOBE,Jo Benkow,,,,Høyre,H,Ak,Akershus,Storting,1981-85,,,,male
JOBU,Johan Buttedahl,,,,Senterpartiet,Sp,Bu,Buskerud,Storting,1981-85,,,,male
JOLØ,Johan C. Løken,,,,Høyre,H,He,Hedmark,Storting,1981-85,,,,male
JJJ,Johan J. Jakobsen,,,,Senterpartiet,Sp,NT,Nord-Trøndelag,Storting,1981-85,,,http://data.stortinget.no/eksport/personbilde?personid=JJJ&storrelse=middels,male
JOSY,Johan Syrstad,,,,Senterpartiet,Sp,ST,Sør-Trøndelag,Storting,1981-85,,,,male
JOVÅ,Johannes Vågsnes,,,,Kristelig Folkeparti,KrF,AA,Aust-Agder,Storting,1981-85,,,,male
JOBT,Jostein Berntsen,,,,Arbeiderpartiet,A,ST,Sør-Trøndelag,Storting,1981-85,,,,male
JØSØ,Jørgen Sønstebø,,,,Kristelig Folkeparti,KrF,Te,Telemark,Storting,1981-85,,,,male
KKF,Kaci Kullmann Five,,,,Høyre,H,Ak,Akershus,Storting,1981-85,,,,female
KASO,Karen Sogn,,,,Høyre,H,Ve,Vestfold,Storting,1981-85,,,,female
KAIG,Karl Ingebrigtsen,,,,Arbeiderpartiet,A,No,Nordland,Storting,1981-85,,,,male
KKG,Kirsti Kolle Grøndahl,,,,Arbeiderpartiet,A,Bu,Buskerud,Storting,1981-85,,,http://data.stortinget.no/eksport/personbilde?personid=KKG&storrelse=middels,female
KJBH,Kjell Bohlin,,,,Arbeiderpartiet,A,Te,Telemark,Storting,1981-85,,,,male
KJBO,Kjell Borgen,,,,Arbeiderpartiet,A,He,Hedmark,Storting,1981-85,,,,male
