id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
453,Anne Huotari,Huotari Anne,,,,Vasemmistoliitto,vas,area/oulun,Oulun,Eduskunta,32,,,http://kansanmuisti.fi/media/images/members/huotari-anne.jpg,female
189,Anneli Jäätteenmäki,Jäätteenmäki Anneli,,,,Keskusta,kesk,area/helsingin,Helsingin,Eduskunta,32,,,http://kansanmuisti.fi/media/images/members/jaatteenmaki-anneli.jpg,female
479,Annika Lapintie,Lapintie Annika,annika.lapintie@eduskunta.fi,,,Vasemmistoliitto,vas,area/varsinais-suomen,Varsinais-Suomen,Eduskunta,32,,,http://kansanmuisti.fi/media/images/members/lapintie-annika.jpg,female
179,Antero Kekkonen,Kekkonen Antero,,,,Sosialidemokraatit,sd,area/kymen,Kymen,Eduskunta,32,,,http://kansanmuisti.fi/media/images/members/kekkonen-antero.jpg,male
166,Antti Kalliomäki,Kalliomäki Antti,,,,Sosialidemokraatit,sd,area/uudenmaan,Uudenmaan,Eduskunta,32,,,http://kansanmuisti.fi/media/images/members/kalliomaki-antti.jpg,male
508,Anu Vehviläinen,Vehviläinen Anu,anu.vehvilainen@eduskunta.fi,,,Keskusta,kesk,area/pohjois-karjalan,Pohjois-Karjalan,Eduskunta,32,,,http://kansanmuisti.fi/media/images/members/vehvilainen-anu.jpg,female
111,Arja Alho,Alho Arja,,,,Sosialidemokraatit,sd,area/uudenmaan,Uudenmaan,Eduskunta,32,,,http://kansanmuisti.fi/media/images/members/alho-arja.jpg,female
450,Arto Bryggare,Bryggare Arto,,,,Sosialidemokraatit,sd,area/helsingin,Helsingin,Eduskunta,32,,,http://kansanmuisti.fi/media/images/members/bryggare-arto.jpg,male
496,Aulis Ranta-Muotio,Ranta-Muotio Aulis,,,,Keskusta,kesk,area/vaasan,Vaasan,Eduskunta,32,,,http://kansanmuisti.fi/media/images/members/ranta-muotio-aulis.jpg,male
301,Ben Zyskowicz,Zyskowicz Ben,ben.zyskowicz@eduskunta.fi,,,Kokoomus,kok,area/helsingin,Helsingin,Eduskunta,32,,,http://kansanmuisti.fi/media/images/members/zyskowicz-ben.jpg,male
417,Bjarne Kallis,Kallis Bjarne,,,,Kristillisdemokraatit,kd,area/vaasan,Vaasan,Eduskunta,32,,,http://kansanmuisti.fi/media/images/members/kallis-bjarne.jpg,male
