id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
alvin_christopher,Alvin CHRISTOPHER,,,,NDP,ndp,2,District 2,Legislative Council,2003,,,,male
andrew_fahie,Andrew FAHIE,,,,VIP,vip,1,District 1,Legislative Council,2003,,,,
delores_christopher,Delores CHRISTOPHER,,,,NDP,ndp,5,District 5,Legislative Council,2003,,,,
julian_fraser,Julian FRASER,,,,VIP,vip,3,District 3,Legislative Council,2003,,,,male
kedrick_pickering,Kedrick PICKERING,,,,NDP,ndp,7,District 7,Legislative Council,2003,,,,
lloyd_black,Lloyd BLACK,,,,NDP,ndp,8,District 8,Legislative Council,2003,,,,
mark_vanterpool,Mark VANTERPOOL,,,,VIP,vip,4,District 4,Legislative Council,2003,,,,
omar_hodge,Omar HODGE,,,,VIP,vip,6,District 6,Legislative Council,2003,,,,male
"parsons,_eilieene_lucia","PARSONS, Eilieene Lucia",,,,NDP,ndp,none,At large,Legislative Council,2003,,,,
ralph_t._o'neal,Ralph T. O'NEAL,,,,VIP,vip,9,District 9,Legislative Council,2003,,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ralph_T._O'Neal_(cropped).jpg,male
"skelton,_ronnie_w.","SKELTON, Ronnie W.",,,,NDP,ndp,none,At large,Legislative Council,2003,,,,
orlando_smith,"SMITH, D. Orlando",,,,NDP,ndp,none,At large,Legislative Council,2003,,,https://upload.wikimedia.org/wikipedia/commons/a/ab/D._Orlando_Smith_(cropped).jpg,male
"wattley,_paul_p.","WATTLEY, Paul P.",,,,NDP,ndp,none,At large,Legislative Council,2003,,,,
