id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
2168,A B M Anwarul Hoque,,,Bangladesh Awami League,bangladesh_awami_league,Manikganj,Jatiyo Sangshad,9,,
2291,A N M Shamsul Islam,,,Bangladesh Jamaat-e-Islami,bangladesh_jamaat-e-islami,Chittagong,Jatiyo Sangshad,9,,
2280,A.B.M. Abul Qasem,,,Bangladesh Awami League,bangladesh_awami_league,Chittagong,Jatiyo Sangshad,9,,
2282,A.B.M. Fazle Karim Chowdhury,,,Bangladesh Awami League,bangladesh_awami_league,Chittagong,Jatiyo Sangshad,9,,
2252,A.B.M. Ghulam Mostafa,,,Bangladesh Awami League,bangladesh_awami_league,Comilla,Jatiyo Sangshad,9,,
2258,A.H.M Mustafa Kamal,,,Bangladesh Awami League,bangladesh_awami_league,Comilla,Jatiyo Sangshad,9,,
2295,A.H.M. Hamidur Rahman Azad,,,Bangladesh Jamaat-e-Islami,bangladesh_jamaat-e-islami,Cox's Bazar,Jatiyo Sangshad,9,,
2254,A.K.M. Bahauddin,,,Bangladesh Awami League,bangladesh_awami_league,Comilla,Jatiyo Sangshad,9,,
2145,A.K.M. Fazlul Haque,,,Bangladesh Awami League,bangladesh_awami_league,Sherpur,Jatiyo Sangshad,9,,
2037,A.K.M. Hafizur Rahman,,,Bangladesh Nationalist Party,bangladesh_nationalist_party,Bogra,Jatiyo Sangshad,9,,
2027,A.K.M. Mayeedul Islam,,,Jatiya Party,jatiya_party,Kurigram,Jatiyo Sangshad,9,,
2025,A.K.M. Mostafizur Rahman,,,Jatiya Party,jatiya_party,Kurigram,Jatiyo Sangshad,9,,
2194,A.K.M. Mozammel Huq,,,Bangladesh Awami League,bangladesh_awami_league,Gazipur,Jatiyo Sangshad,9,,
2183,A.K.M. Rahmatullah,,,Bangladesh Awami League,bangladesh_awami_league,Dhaka,Jatiyo Sangshad,9,,
2127,A.K.M.A. Awal (Saydur),,,Bangladesh Awami League,bangladesh_awami_league,Pirojpur,Jatiyo Sangshad,9,,
2350,A.N.Mahfuza Khatun Baby Maudud,,,Bangladesh Awami League,bangladesh_awami_league,Seat,Jatiyo Sangshad,9,,
2112,A.S.M. Feroz,,,Bangladesh Awami League,bangladesh_awami_league,Patuakhali,Jatiyo Sangshad,9,,
2277,ABM Ashraf Uddin Nizan,,,Bangladesh Nationalist Party,bangladesh_nationalist_party,Laxmipur,Jatiyo Sangshad,9,,
2124,ABM Ruhul Amin Howlader,,,Jatiya Party,jatiya_party,Barisal,Jatiyo Sangshad,9,,
2069,"Abdul Karim Khandakar, Bir Uttam",,,Bangladesh Awami League,bangladesh_awami_league,Pabna,Jatiyo Sangshad,9,,
2133,Abdul Latif Siddique,,,Bangladesh Awami League,bangladesh_awami_league,Tangail,Jatiyo Sangshad,9,,
2084,Abdul Mannan,,,Bangladesh Awami League,bangladesh_awami_league,Jhenaidah,Jatiyo Sangshad,9,,
2174,Abdul Mannan Khan,,,Bangladesh Awami League,bangladesh_awami_league,Dhaka,Jatiyo Sangshad,9,,
2253,Abdul Matin Khasru,,,Bangladesh Awami League,bangladesh_awami_league,Comilla,Jatiyo Sangshad,9,,
2038,Abdul Momin Talukder,,,Bangladesh Nationalist Party,bangladesh_nationalist_party,Bogra,Jatiyo Sangshad,9,,
2206,Abdullah AL Kaisar,,,Bangladesh Awami League,bangladesh_awami_league,Narayanganj,Jatiyo Sangshad,9,,
2118,Abdullah Al Islam Jakob,,,Bangladesh Awami League,bangladesh_awami_league,Bhola,Jatiyo Sangshad,9,,
2297,Abdur Rahman Badi,,,Bangladesh Awami League,bangladesh_awami_league,Cox's Bazar,Jatiyo Sangshad,9,,
2009,Abul Hassan Mahmood Ali,,,Bangladesh Awami League,bangladesh_awami_league,Dinajpur,Jatiyo Sangshad,9,,
2138,Abul Kalam Azad,,,Bangladesh Awami League,bangladesh_awami_league,Jamalpur,Jatiyo Sangshad,9,,
2229,Abul Maal Abdul Muhith,,,Bangladesh Awami League,bangladesh_awami_league,Sylhet,Jatiyo Sangshad,9,,
2241,Advocate Md. Abu Zahir,,,Bangladesh Awami League,bangladesh_awami_league,Habiganj,Jatiyo Sangshad,9,,
2033,Advocate Md. Fazle Rabbi Miah,,,Bangladesh Awami League,bangladesh_awami_league,Gaibandha,Jatiyo Sangshad,9,,
2083,Advocate Md. Shafiqul Azam Khan,,,Bangladesh Awami League,bangladesh_awami_league,Jhenaidah,Jatiyo Sangshad,9,,
2244,Advocate Md. Ziaul Haque Mridha,,,Jatiya Party,jatiya_party,Brahmanbaria,Jatiyo Sangshad,9,,
2096,Advocate Mir Showkat Ali Badsha,,,Bangladesh Awami League,bangladesh_awami_league,Bagerhat,Jatiyo Sangshad,9,,
2175,Advocate Qamrul Islam,,,Bangladesh Awami League,bangladesh_awami_league,Dhaka,Jatiyo Sangshad,9,,
2191,Advocate Sahara Khatun,,,Bangladesh Awami League,bangladesh_awami_league,Dhaka,Jatiyo Sangshad,9,,
2308,Advocate Tarana Halim,,,Bangladesh Awami League,bangladesh_awami_league,Seat,Jatiyo Sangshad,9,,
