id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
m._abiguime_petik-abalo,M. ABIGUIME Petik-Abalo,M. ABIGUIME Petik-Abalo,,,,UNIR,unir,area/binah,BINAH,National Assembly,2013,,,,male
m._abolu_yawo_afelete,M. ABOLU Yawo Afelete,M. ABOLU Yawo Afelete,,,,UNIR,unir,area/ave,AVE,National Assembly,2013,,,,male
m._adjor_akofi,M. ADJOR Akofi,M. ADJOR Akofi,,,,ANC,anc,area/ave,AVE,National Assembly,2013,,,,male
m._afo_aledjou_mawé,M. AFO ALEDJOU Mawé,M. AFO ALEDJOU Mawé,,,,UNIR,unir,area/tchamba,TCHAMBA,National Assembly,2013,,,,male
m._agbo_komlan,M. AGBO KOMLAN,M. AGBO KOMLAN,,,,UNIR,unir,area/est-mono,EST-MONO,National Assembly,2013,,,,male
m._agbo_kokou,M. AGBO Kokou,M. AGBO Kokou,,,,ARC-EN-CIEL,arc-en-ciel,area/yoto,YOTO,National Assembly,2013,,,,male
m._alonou_kokou,M. ALONOU Kokou,M. ALONOU Kokou,,,,UNIR,unir,area/blitta,BLITTA,National Assembly,2013,,,,male
m._ametodji_yawovi,M. AMETODJI Yawovi,M. AMETODJI Yawovi,,,,UNIR,unir,area/ogou-anie,OGOU-ANIE,National Assembly,2013,,,,male
m._amouzou_kodjovi,M. AMOUZOU Kodjovi,M. AMOUZOU Kodjovi,,,,UNIR,unir,area/haho,HAHO,National Assembly,2013,,,,male
m._apekey_assewouwokan,M. APEKEY Assewouwokan,M. APEKEY Assewouwokan,,,,ANC,anc,area/vo,VO,National Assembly,2013,,,,male
m._apevon_kokou_dodji,M. APEVON Kokou Dodji,M. APEVON Kokou Dodji,,,,ARC-EN-CIEL,arc-en-ciel,area/grand_lome,GRAND LOME,National Assembly,2013,,,,male
m._apezouke_jean-marie,M. APEZOUKE Jean-Marie,M. APEZOUKE Jean-Marie,,,,UNIR,unir,area/vo,VO,National Assembly,2013,,,,male
m._arzouma_natchadja,M. ARZOUMA Natchadja,M. ARZOUMA Natchadja,,,,UNIR,unir,area/kpendjal,KPENDJAL,National Assembly,2013,,,,male
m._assouma_derman,M. ASSOUMA Derman,M. ASSOUMA Derman,,,,UNIR,unir,area/tchamba,TCHAMBA,National Assembly,2013,,,,male
m._atakpamey_kodjo,M. ATAKPAMEY Kodjo,M. ATAKPAMEY Kodjo,,,,ANC,anc,area/ogou-anie,OGOU-ANIE,National Assembly,2013,,,,male
m._atchi_n’bouké_yao,M. ATCHI N’Bouké Yao,M. ATCHI N’Bouké Yao,,,,UNIR,unir,area/moyen-mono,MOYEN-MONO,National Assembly,2013,,,,male
m._awate_simala,M. AWATE Simala,M. AWATE Simala,,,,UNIR,unir,area/est-mono,EST-MONO,National Assembly,2013,,,,male
m._bankati_bolagbédé,M. BANKATI Bolagbédé,M. BANKATI Bolagbédé,,,,UNIR,unir,area/oti,OTI,National Assembly,2013,,,,male
m._baritse_dametoti,M. BARITSE Dametoti,M. BARITSE Dametoti,,,,UNIR,unir,area/kpendjal,KPENDJAL,National Assembly,2013,,,,male
m._beguem_nakodja,M. BEGUEM Nakodja,M. BEGUEM Nakodja,,,,UNIR,unir,area/dankpen,DANKPEN,National Assembly,2013,,,,male
m._boini_taaka,M. BOINI Taaka,M. BOINI Taaka,,,,UNIR,unir,area/keran,KERAN,National Assembly,2013,,,,male
m._bouwassi_kédessa_datcha,M. BOUWASSI Kédessa Datcha,M. BOUWASSI Kédessa Datcha,,,,UNIR,unir,area/kozah,KOZAH,National Assembly,2013,,,,male
m._dobou_kwadzo_sedem,M. DOBOU Kwadzo Sedem,M. DOBOU Kwadzo Sedem,,,,UNIR,unir,area/agou,AGOU,National Assembly,2013,,,,male
m._doe-bruce_adama_koffi,M. DOE-BRUCE Adama Koffi,M. DOE-BRUCE Adama Koffi,,,,ANC,anc,area/grand_lome,GRAND LOME,National Assembly,2013,,,,male
m._dra_kossi_seveamenou,M. DRA Kossi Seveamenou,M. DRA Kossi Seveamenou,,,,ANC,anc,area/grand_lome,GRAND LOME,National Assembly,2013,,,,male
m._dramani_dama,M. DRAMANI Dama,M. DRAMANI Dama,,,,UNIR,unir,area/tchamba,TCHAMBA,National Assembly,2013,,,,male
m._ewovor_kossi_messan_w.,M. EWOVOR Kossi Messan W.,M. EWOVOR Kossi Messan W.,,,,UNIR,unir,area/danyi,DANYI,National Assembly,2013,,,,male
m._fabre_jean-pierre,M. FABRE Jean-Pierre,M. FABRE Jean-Pierre,,,,UNIR,unir,area/grand_lome,GRAND LOME,National Assembly,2013,,,,male
m._fofana_soffoh,M. FOFANA Soffoh,M. FOFANA Soffoh,,,,ANC,anc,area/asssoli,ASSSOLI,National Assembly,2013,,,,male
m._gagou_kokou,M. GAGOU KOKOU,M. GAGOU KOKOU,,,,UNIR,unir,area/lacs-bas_mono,LACS-BAS MONO,National Assembly,2013,,,,male
m._gnatcho_komla_mawuena,M. GNATCHO Komla Mawuena,M. GNATCHO Komla Mawuena,,,,UNIR,unir,area/amou,AMOU,National Assembly,2013,,,,male
m._gnongbo_tak_youssif,M. GNONGBO Tak Youssif,M. GNONGBO Tak Youssif,,,,UNIR,unir,area/assoli,ASSOLI,National Assembly,2013,,,,male
m._gogue_tchaboure,M. GOGUE Tchaboure,M. GOGUE Tchaboure,,,,ADDI,addi,area/tandjouare,TANDJOUARE,National Assembly,2013,,,,male
m._hodin_eke_kokou,M. HODIN Eke Kokou,M. HODIN Eke Kokou,,,,UNIR,unir,area/ogou-anie,OGOU-ANIE,National Assembly,2013,,,,male
m._howanou_edoh,M. HOWANOU Edoh,M. HOWANOU Edoh,,,,UNIR,unir,area/moyen-mono,MOYEN-MONO,National Assembly,2013,,,,male
m._jimongou_sambiani_kpandou,M. JIMONGOU Sambiani Kpandou,M. JIMONGOU Sambiani Kpandou,,,,UFC,ufc,area/tone-cinkasse,TONE-CINKASSE,National Assembly,2013,,,,male
m._jondoh_comlavi_dzigbodi,M. JONDOH Comlavi Dzigbodi,M. JONDOH Comlavi Dzigbodi,,,,ANC,anc,area/grand_lome,GRAND LOME,National Assembly,2013,,,,male
m._kampatibe_nagbandja,M. KAMPATIBE Nagbandja,M. KAMPATIBE Nagbandja,,,,ADDI,addi,area/tone-cinkasse,TONE-CINKASSE,National Assembly,2013,,,,male
m._katagna_essodina,M. KATAGNA Essodina,M. KATAGNA Essodina,,,,UNIR,unir,area/binah,BINAH,National Assembly,2013,,,,male
m._katin_djagre,M. KATIN Djagre,M. KATIN Djagre,,,,UNIR,unir,area/bassar,BASSAR,National Assembly,2013,,,,male
m._kertcho_komina,M. KERTCHO Komina,M. KERTCHO Komina,,,,UNIR,unir,area/wawa-akebou,WAWA-AKEBOU,National Assembly,2013,,,,male
m._ketoglo_yao_victor,M. KETOGLO Yao Victor,M. KETOGLO Yao Victor,,,,ANC,anc,area/zio,ZIO,National Assembly,2013,,,,male
m._kissi_kofi_hotounou,M. KISSI Kofi Hotounou,M. KISSI Kofi Hotounou,,,,ARC-EN-CIEL,arc-en-ciel,area/vo,VO,National Assembly,2013,,,,male
m._koffi_kossiko_kalenyo,M. KOFFI Kossiko Kalenyo,M. KOFFI Kossiko Kalenyo,,,,ARC-EN-CIEL,arc-en-ciel,area/yoto,YOTO,National Assembly,2013,,,,male
m._kolani_kombate_douti,M. KOLANI Kombate Douti,M. KOLANI Kombate Douti,,,,UFC,ufc,area/oti,OTI,National Assembly,2013,,,,male
m._kpadenou_amoussouvi,M. KPADENOU Amoussouvi,M. KPADENOU Amoussouvi,,,,ANC,anc,area/lacs-bas_mono,LACS-BAS MONO,National Assembly,2013,,,,male
m._kpatcha_komi,M. KPATCHA Komi,M. KPATCHA Komi,,,,UNIR,unir,area/kozah,KOZAH,National Assembly,2013,,,,male
m._kpogo_kodjo,M. KPOGO Kodjo,M. KPOGO Kodjo,,,,ANC,anc,area/grand_lome,GRAND LOME,National Assembly,2013,,,,male
m._kpohou_sim,M. KPOHOU Sim,M. KPOHOU Sim,,,,UNIR,unir,area/sotouboua,SOTOUBOUA,National Assembly,2013,,,,male
m._labitoko_kadjila,M. LABITOKO Kadjila,M. LABITOKO Kadjila,,,,UNIR,unir,area/doufelgou,DOUFELGOU,National Assembly,2013,,,,male
m._lawson_latevi_calvin_georges,M. LAWSON Latevi Calvin Georges,M. LAWSON Latevi Calvin Georges,,,,ANC,anc,area/grand_lome,GRAND LOME,National Assembly,2013,,,,male
m._lawson-banku_boevi_patrick,M. LAWSON-Banku Boevi Patrick,M. LAWSON-Banku Boevi Patrick,,,,ANC,anc,area/lacs-bas_mono,LACS-BAS MONO,National Assembly,2013,,,,male
m._malle_kayaba,M. MALLE Kayaba,M. MALLE Kayaba,,,,UNIR,unir,area/tone-cinkasse,TONE-CINKASSE,National Assembly,2013,,,,male
m._nassou_alouadjou_k.,M. NASSOU Alouadjou K.,M. NASSOU Alouadjou K.,,,,UNIR,unir,area/keran,KERAN,National Assembly,2013,,,,male
m._nayo_koffi_bessewu,M. NAYO Koffi Bessewu,M. NAYO Koffi Bessewu,,,,UNIR,unir,area/amou,AMOU,National Assembly,2013,,,,male
m._nonon_k._diera-bariga,M. NONON K. Diera-Bariga,M. NONON K. Diera-Bariga,,,,UNIR,unir,area/blitta,BLITTA,National Assembly,2013,,,,male
m._ogblomesse_koku_m.,M. OGBLOMESSE Koku M.,M. OGBLOMESSE Koku M.,,,,UNIR,unir,area/danyi,DANYI,National Assembly,2013,,,,male
m._ore_djimon,M. ORE DJIMON,M. ORE DJIMON,,,,INDEPENDANT,independant,area/est-mono,EST-MONO,National Assembly,2013,,,,male
m._osseyi_yawovi,M. OSSEYI Yawovi,M. OSSEYI Yawovi,,,,UNIR,unir,area/amou,AMOU,National Assembly,2013,,,,male
m._ouro-akpo_tchagnaou,M. OURO-AKPO Tchagnaou,M. OURO-AKPO Tchagnaou,,,,ANC,anc,area/tchaoudjo,TCHAOUDJO,National Assembly,2013,,,,male
m._penn_lare_batouth,M. PENN Lare Batouth,M. PENN Lare Batouth,,,,UNIR,unir,area/oti,OTI,National Assembly,2013,,,,male
