id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
mp_VokshiAlbana,Albana Vokshi,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_ÇukoArben,Arben Çuko,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_TurkuArdian,Ardian Turku,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_PrengaArmando,Armando Prenga,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_SubashiArmando,Armando Subashi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_DadeArta,Arta Dade,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_GaçiArtan,Artan Gaçi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_PatoziAstrit,Astrit Patozi,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_FinoBashkim,Bashkim Fino,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_HoxhaBedri,Bedri Hoxha,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_BlushiBen,Ben Blushi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_BarajBesnik,Besnik Baraj,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_DushajBesnik,Besnik Dushaj,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_KlosiBlendi,Blendi Klosi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_PezaDashamir,Dashamir Peza,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_TahiriDashamir,Dashamir Tahiri,,,"Partia Drejtësi, Integrim dhe Unitet",party_PartiaDrejtësiIntegrimDheUnitet,,Kuvendi,chamber_VII,,
mp_BushatiDitmir,Ditmir Bushati,,,Unknown,_unknown,,Kuvendi,chamber_VII,,
mp_PalokaEdi,Edi Paloka,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_SpahoEdmond,Edmond Spaho,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_BraçeErion,Erion Braçe,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_FelajErmonela,Ermonela Felaj,,,Unknown,_unknown,,Kuvendi,chamber_VII,,
mp_MediuFatmir,Fatmir Mediu,,,Unknown,_unknown,,Kuvendi,chamber_VII,,
mp_ToçiFatmir,Fatmir Toçi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_XhafajFatmir,Fatmir Xhafaj,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_YlliFidel,Fidel Ylli,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_NokaFlamur,Flamur Noka,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_MimaFlorjon,Florjon Mima,,,Unknown,_unknown,,Kuvendi,chamber_VII,,
mp_PolloGenc,Genc Pollo,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_StrazimiriGent,Gent Strazimiri,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_BogdaniGerti,Gerti Bogdani,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_PapaGjergji,Gjergji Papa,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_RuçiGramoz,Gramoz Ruçi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_CaraIgli,Igli Cara,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_IslamiKastriot,Kastriot Islami,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_SpahiuKlodiana,Klodiana Spahiu,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_XhuvaniLuiza,Luiza Xhuvani,,,Unknown,_unknown,,Kuvendi,chamber_VII,,
mp_BoçiLuçiano,Luçiano Boçi,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_BreguMajlindaPhd,Majlinda PHD Bregu,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_DodaMesila,Mesila Doda,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_TafajMyqerem,Myqerem Tafaj,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_DokleNamik,Namik Dokle,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_XhaçkaOlta,Olta Xhaçka,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_MajkoPandeli,Pandeli Majko,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_SterkajPaulin,Paulin Sterkaj,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_LutajPiro,Piro Lutaj,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_AbaziSadri,Sadri Abazi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_ShehuSherefedin,Sherefedin Shehu,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_IdriziShpëtim,Shpëtim Idrizi,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VII,,
mp_BallaTaulant,Taulant Balla,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_LeskajValentina,Valentina Leskaj,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_DuleVangjel,Vangjel Dule,,,PBDNJ,party_Pbdnj,,Kuvendi,chamber_VII,,
mp_TavoVangjel,Vangjel Tavo,,,Partia “LSI”,party_Partia“Lsi”,,Kuvendi,chamber_VII,,
mp_HysiVasilika,Vasilika Hysi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
mp_QefaliaXhemal,Xhemal Qefalia,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VII,,
