id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
18089,Євлахов Анатолій Сергійович,,,,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,area/Виборчому_округу_№207,Виборчому округу №207,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/d207_1.jpg,
11728,Євтушок Сергій Миколайович,,,,"Фракція політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",2617,area/Виборчому_округу_№156,Виборчому округу №156,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/d156_1.jpg,
18016,Єднак Остап Володимирович,,,,"Фракція Політичної партії ""Об'єднання ""САМОПОМІЧ""",2614,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,2015-09-02,http://static.rada.gov.ua/dep_img8/sp17.jpg,
18016,Єднак Остап Володимирович,,,,Позафракційні,Позафракційні,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,2015-09-03,,http://static.rada.gov.ua/dep_img8/sp17.jpg,
17959,Єленський Віктор Євгенович,,,,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/nf38.jpg,
4761,Ємець Леонід Олександрович,,,,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,area/Виборчому_округу_№221,Виборчому округу №221,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/d221_1.jpg,
5509,Єремеєв Ігор Миронович,,,,"Група ""Воля народу""",2619,area/Виборчому_округу_№23,Виборчому округу №23,Verkhovna Rada,8,,2015-08-13,http://static.rada.gov.ua/dep_img8/d23_1.jpg,
16716,Єфремова Ірина Олексіївна,,,,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/nf63.jpg,
18090,Єфімов Максим Вікторович,,,,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,area/Виборчому_округу_№48,Виборчому округу №48,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/d48_1.jpg,
15654,Іванчук Андрій Володимирович,,,,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/nf16.jpg,
15733,Івахів Степан Петрович,,,,"Група ""Воля народу""",2619,area/Виборчому_округу_№21,Виборчому округу №21,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/d21_1.jpg,
18055,Івченко Вадим Євгенович,,,,"Фракція політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",2617,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/but6.jpg,
15837,Іллєнко Андрій Юрійович,,,,Позафракційні,Позафракційні,area/Виборчому_округу_№215,Виборчому округу №215,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/d215_1.jpg,
15794,Ільюк Артем Олександрович,,,,"Група ""Економічний розвиток""",2618,area/Виборчому_округу_№128,Виборчому округу №128,Verkhovna Rada,8,,2015-03-05,http://static.rada.gov.ua/dep_img8/d128_1.jpg,
15794,Ільюк Артем Олександрович,,,,"Група ""Відродження""",2795,area/Виборчому_округу_№128,Виборчому округу №128,Verkhovna Rada,8,2015-03-06,2015-06-17,http://static.rada.gov.ua/dep_img8/d128_1.jpg,
15794,Ільюк Артем Олександрович,,,,"Група ""Партія ""Відродження""",2846,area/Виборчому_округу_№128,Виборчому округу №128,Verkhovna Rada,8,2015-06-17,,http://static.rada.gov.ua/dep_img8/d128_1.jpg,
15672,Іонова Марія Миколаївна,,,,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/bp23.jpg,
793,Іоффе Юлій Якович,,,,"Фракція Політичної партії ""Опозиційний блок"" у Верховній Раді України восьмого скликання",2616,area/Виборчому_округу_№112,Виборчому округу №112,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/d112_1.jpg,
18092,Іщейкін Костянтин Євгенович,,,,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,area/Виборчому_округу_№148,Виборчому округу №148,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/d148_1.jpg,
15685,Іщенко Валерій Олександрович,,,,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/bp37.jpg,
2524,Абдуллін Олександр Рафкатович,,,,"Фракція політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",2617,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/but17.jpg,
15650,Аваков Арсен Борисович,,,,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,2014-12-02,http://static.rada.gov.ua/dep_img8/nf6.jpg,
15669,Агафонова Наталія Володимирівна,,,,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/bp44.jpg,
16067,Алексєєв Ігор Сергійович,,,,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/nf64.jpg,
17993,Алєксєєв Сергій Олегович,,,,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/bp55.jpg,
12290,Амельченко Василь Васильович,,,,Фракція Радикальної партії Олега Ляшка,2615,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/rp21.jpg,
15839,Андрієвський Дмитро Йосипович,,,,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,area/Виборчому_округу_№222,Виборчому округу №222,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/d222_1.jpg,
17983,Антонищак Андрій Федорович,,,,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/bp39.jpg,
11118,Ар'єв Володимир Ігорович,,,,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,area/Виборчому_округу_№218,Виборчому округу №218,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/d218_1.jpg,
18058,Арешонков Володимир Юрійович,,,,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,area/Виборчому_округу_№64,Виборчому округу №64,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/d64_1.jpg,
18049,Артеменко Андрій Вікторович,,,,Фракція Радикальної партії Олега Ляшка,2615,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/rp16.jpg,
18059,Артюшенко Ігор Андрійович,,,,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",2613,area/Виборчому_округу_№75,Виборчому округу №75,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/d75_1.jpg,
5584,Атрошенко Владислав Анатолійович,,,,Позафракційні,Позафракційні,area/Виборчому_округу_№206,Виборчому округу №206,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/d206_1.jpg,
18007,Бабак Альона Валеріївна,,,,"Фракція Політичної партії ""Об'єднання ""САМОПОМІЧ""",2614,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/sp8.jpg,
4427,Бабенко Валерій Борисович,,,,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,,,http://static.rada.gov.ua/dep_img8/nf35.jpg,
18604,Бабій Юрій Юрійович,,,,Позафракційні,Позафракційні,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,2015-01-27,2015-02-02,http://static.rada.gov.ua/dep_img8/nf75.jpg,
18604,Бабій Юрій Юрійович,,,,"Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""",2612,area/Загальнодержавному_багатомандатному_округу,Загальнодержавному багатомандатному округу,Verkhovna Rada,8,2015-02-03,,http://static.rada.gov.ua/dep_img8/nf75.jpg,
