id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
3923,Ada Marra,"Marra, Ada",,,,S,s,area/vd,VD,National Council,48,,,,female
1135,Adrian Amstutz,"Amstutz, Adrian",,,,V,v,area/be,BE,National Council,48,,2011-05-29,https://upload.wikimedia.org/wikipedia/commons/7/70/Adrian_Amstutz_(2007).jpg,male
3907,Adèle Thorens Goumaz,"Thorens Goumaz, Adèle",,,,G,g,area/vd,VD,National Council,48,,,,female
3908,Alec von Graffenried,"von Graffenried, Alec",,,,G,g,area/be,BE,National Council,48,,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Alec_von_graffenried.jpg,male
3887,Alfred Heer,"Heer, Alfred",,,,V,v,area/zh,ZH,National Council,48,,,,male
3883,Alice Glauser-Zufferey,"Glauser-Zufferey, Alice",,,,V,v,area/vd,VD,National Council,48,,,,female
105,Andrea Hämmerle,"Hämmerle, Andrea",,,,S,s,area/gr,GR,National Council,48,,,,male
3880,Andrea Martina Geissbühler,"Geissbühler, Andrea Martina",,,,V,v,area/be,BE,National Council,48,,,https://upload.wikimedia.org/wikipedia/commons/5/51/Andrea_Geissbühler.jpg,female
3867,Andreas Aebi,"Aebi, Andreas",,,,V,v,area/be,BE,National Council,48,,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Andreas_aebi.jpg,male
4014,Andreas Brönnimann,"Brönnimann, Andreas",,,,V,v,area/be,BE,National Council,48,2009-09-07,,,male
97,Andreas Gross,"Gross, Andreas",,,,S,s,area/zh,ZH,National Council,48,,,,male
453,André Bugnon,"Bugnon, André",,,,V,v,area/vd,VD,National Council,48,2008-12-01,,https://upload.wikimedia.org/wikipedia/commons/1/1a/André_Bugnon.jpg,male
1152,André Daguet,"Daguet, André",,,,S,s,area/be,BE,National Council,48,,2011-05-29,,male
1115,André Reymond,"Reymond, André",,,,V,v,area/ge,GE,National Council,48,,,https://upload.wikimedia.org/wikipedia/commons/a/a8/André_Reymond.jpg,male
3829,Andy Tschümperlin,"Tschümperlin, Andy",,,,S,s,area/sz,SZ,National Council,48,,,,male
3893,Anita Lachenmeier-Thüring,"Lachenmeier-Thüring, Anita",,,,G,g,area/bs,BS,National Council,48,,,,female
360,Anita Thanei,"Thanei, Anita",,,,S,s,area/zh,ZH,National Council,48,,,,female
3889,Antonio Hodgers,"Hodgers, Antonio",,,,G,g,area/ge,GE,National Council,48,2010-12-08,,,male
489,Arthur Loepfe,"Loepfe, Arthur",,,,CEg,ceg,area/ai,AI,National Council,48,,,,male
1105,Attilio Bignasca,"Bignasca, Attilio",,,,V,v,area/ti,TI,National Council,48,,2009-12-31,,male
3904,Barbara Schmid-Federer,"Schmid-Federer, Barbara",,,,CEg,ceg,area/zh,ZH,National Council,48,,,,female
3882,Bastien Girod,"Girod, Bastien",,,,G,g,area/zh,ZH,National Council,48,,,,male
1156,Bea Heim,"Heim, Bea",,,,S,s,area/so,SO,National Council,48,,,,female
4032,Beat Jans,"Jans, Beat",,,,S,s,area/bs,BS,National Council,48,2010-05-31,,,male
3913,Brigit Wyss,"Wyss, Brigit",,,,G,g,area/so,SO,National Council,48,2008-02-22,,,female
273,Brigitta M. Gadient,"Gadient, Brigitta M.",,,,BD,bd,area/gr,GR,National Council,48,2011-09-23,,,female
1106,Brigitte Häberli-Koller,"Häberli-Koller, Brigitte",,,,CEg,ceg,area/tg,TG,National Council,48,,,,female
526,Bruno Zuppiger,"Zuppiger, Bruno",,,,V,v,area/zh,ZH,National Council,48,,,https://upload.wikimedia.org/wikipedia/commons/7/7b/Bruno_Zuppiger_(2007).jpg,male
1120,Carlo Sommaruga,"Sommaruga, Carlo",,,,S,s,area/ge,GE,National Council,48,,,,male
404,Caspar Baader,"Baader, Caspar",,,,V,v,area/bl,BL,National Council,48,,,,male
1125,Chantal Galladé,"Galladé, Chantal",,,,S,s,area/zh,ZH,National Council,48,,,,female
