id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image
35,Andrzej Owczarek,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/35/image.jpeg
22,Andrzej Person,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/22/image.jpeg
82,Antoni Motyczka,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/82/image.jpeg
74,Bogdan Borusewicz,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/74/image.jpeg
249,Czesław Ryszka,,,Unknown,_unknown,,Senat,chamber_VI,2015-02-27,,http://files.parldata.eu/pl/senat/people/249/image.jpeg
73,Edmund Wittbrodt,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/73/image.jpeg
56,Henryk Górski,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/56/image.jpeg
77,Jarosław Lasecki,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/77/image.jpeg
28,Jerzy Chróścikowski,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/28/image.jpeg
89,Kazimierz Kutz,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/89/image.jpeg
44,Kazimierz Wiatr,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/44/image.jpeg
52,Marek Rocki,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/52/image.jpeg
99,Marek Ziółkowski,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/99/image.jpeg
21,Michał Wojtczak,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/21/image.jpeg
97,Mieczysław Augustyn,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/97/image.jpeg
61,Piotr Wach,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/61/image.jpeg
109,Piotr Zientarski,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/109/image.jpeg
95,Ryszard Górecki,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/95/image.jpeg
58,Stanisław Karczewski,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/58/image.jpeg
46,Stanisław Kogut,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/46/image.jpeg
57,Waldemar Kraska,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/57/image.jpeg
64,Władysław Ortyl,,,Unknown,_unknown,,Senat,chamber_VI,,,http://files.parldata.eu/pl/senat/people/64/image.jpeg
