id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
873,Adriana Muñoz D'Albora,Muñoz,amunoz,,,Partido Por la Democracia,PPD,area/9,9,National Congress,3,,,,female
818,Alberto Cardemil Herrera,Cardemil,acardemil,,,Renovación Nacional,RN,area/22,22,National Congress,3,,,,male
30,Alberto Espina Otero,Espina,,,,Renovación Nacional,RN,area/21,21,National Congress,3,,,,male
933,Aldo Cornejo González,Cornejo,acornejo,,,Partido Demócrata Cristiano,DC,area/13,13,National Congress,3,,,,male
844,Alejandro García-Huidobro Sanfuentes,García-Huidobro,agarcia,,,Unión Demócrata Independiente,UDI,area/32,32,National Congress,3,,,,male
195,Alejandro Navarro Brain,Navarro,anavarro,,,Partido Socialista,PS,area/45,45,National Congress,3,,,,male
912,Alfonso Vargas Lyng,Vargas,avargas,,,Renovación Nacional,RN,area/10,10,National Congress,3,,,,male
83,Andrés Palma Irarrázaval,Palma,,,,Partido Demócrata Cristiano,DC,area/25,25,National Congress,3,,,,male
103,Antonella Sciaraffia Estrada,Sciaraffia,,,,Partido Demócrata Cristiano,DC,area/2,2,National Congress,3,,,,female
859,Antonio Leal Labrín,Leal,aleal,,,Partido Por la Democracia,PPD,area/5,5,National Congress,3,,,,male
205,Aníbal Pérez Lobos,Pérez,anibalpe,,,Partido Por la Democracia,PPD,area/32,32,National Congress,3,,,,male
178,Arturo Longton Guerrero,Longton,al,,,Renovación Nacional,RN,area/12,12,National Congress,3,,,,male
93,Baldo Prokuriça Prokuriça,Prokuriça,,,,Renovación Nacional,RN,area/6,6,National Congress,3,,,,male
855,Carlos Abel Jarpa Wevar,Jarpa,cjarpa,,,Partido Radical Social Demócrata,PRSD,area/41,41,National Congress,3,,,,male
15,Carlos Caminondo Sáez,Caminondo,,,,Renovación Nacional,RN,area/54,54,National Congress,3,,,,male
172,Carlos Ignacio Kuschel Silva,Kuschel,kuschel,,,Renovación Nacional,RN,area/57,57,National Congress,3,,,,male
870,Carlos Montes Cisternas,Montes,cmontes,,,Partido Socialista,PS,area/26,26,National Congress,3,,,,male
878,Carlos Olivares Zepeda,Olivares,colivare,,,Partido Demócrata Cristiano,DC,area/18,18,National Congress,3,,,,male
887,Carlos Recondo Lavanderos,Recondo,crecondo,,,Unión Demócrata Independiente,UDI,area/56,56,National Congress,3,,,,male
962,Carlos Vilches Guzmán,Vilches,cvilches,,,Renovación Nacional,RN,area/5,5,National Congress,3,,,,male
805,Claudio Alvarado Andrade,Alvarado,alvarado,,,Unión Demócrata Independiente,UDI,area/58,58,National Congress,3,,,,male
175,Cristián Leay Morán,Leay,cleay,,,Unión Demócrata Independiente,UDI,area/19,19,National Congress,3,,,,male
187,Darío Molina Sanhueza,Molina,dmolina,,,Unión Demócrata Independiente,UDI,area/9,9,National Congress,3,,,,male
884,Darío Paya Mira,Paya,dpaya,,,Unión Demócrata Independiente,UDI,area/28,28,National Congress,3,,,,male
213,Edgardo Riveros Marín,Riveros,eriveros,,,Partido Demócrata Cristiano,DC,area/30,30,National Congress,3,,,,male
220,Edmundo Salas De La Fuente,Salas,esalas,,,Partido Demócrata Cristiano,DC,area/45,45,National Congress,3,,,,male
239,Edmundo Villouta Concha,Villouta,villouta,,,Partido Demócrata Cristiano,DC,area/48,48,National Congress,3,,,,male
826,Eduardo Díaz Del Río,Díaz,ediaz,,,Unión Demócrata Independiente,UDI,area/51,51,National Congress,3,,,,male
137,Eliana Caraball Martínez,Caraball,ecarabal,,,Partido Demócrata Cristiano,DC,area/27,27,National Congress,3,,,,female
854,Enrique Jaramillo Becker,Jaramillo,ejaramil,,,Partido Por la Democracia,PPD,area/54,54,National Congress,3,,,,male
50,Enrique Krauss Rusque,Krauss,,,,Partido Demócrata Cristiano,DC,area/22,22,National Congress,3,,,,male
