id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
mp_AdemGrabovci,Adem Grabovci,Grabovci Adem,,,,PDK,parliamentary_group_43,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AdemGrabovci/image.3.jpeg,
mp_AfrimHoti,Afrim Hoti,Hoti Afrim,,,,Grupi i Vetëvendosjes,parliamentary_group_40,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AfrimHoti/image.jpeg,
mp_AfrimKasolli,Afrim Kasolli,Kasolli Afrim,,,,Grupi i Vetëvendosjes,parliamentary_group_40,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AfrimKasolli/image.jpeg,
mp_AfërditaBerishaShaqiri,Afërdita Berisha-Shaqiri,Berisha-Shaqiri Afërdita,,,,LDK,parliamentary_group_44,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_Af%C3%ABrditaBerishaShaqiri/image.jpeg,
mp_AgimKuleta,Agim Kuleta,Kuleta Agim,,,,PG,parliamentary_group_47,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AgimKuleta/image.jpeg,
mp_AhmetIsufi,Ahmet Isufi,Isufi Ahmet,,,,AAK,parliamentary_group_45,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AhmetIsufi/image.2.jpeg,
mp_AlbanaFetoshi,Albana Fetoshi,Fetoshi Albana,,,,Grupi i Vetëvendosjes,parliamentary_group_40,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AlbanaFetoshi/image.jpeg,
mp_AlbanaGashi,Albana Gashi,Gashi Albana,,,,Grupi i Vetëvendosjes,parliamentary_group_40,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AlbanaGashi/image.jpeg,
mp_AlbertKinolli,Albert Kinolli,Kinolli Albert,,,,Grupi 6+,parliamentary_group_41,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AlbertKinolli/image.jpeg,
mp_AlbinKurti,Albin Kurti,Kurti Albin,,,,Grupi i Vetëvendosjes,parliamentary_group_40,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AlbinKurti/image.2.jpeg,
mp_AlbulenaHaxhiu,Albulena Haxhiu,Haxhiu Albulena,,,,Grupi i Vetëvendosjes,parliamentary_group_40,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AlbulenaHaxhiu/image.2.jpeg,
mp_AliSadriu,Ali Sadriu,Sadriu Ali,,,,LDK,parliamentary_group_44,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AliSadriu/image.4.jpeg,
mp_AlmaLama,Alma Lama,Lama Alma,,,,LDK,parliamentary_group_44,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AlmaLama/image.2.jpeg,
mp_AmirAhmeti,Amir Ahmeti,Ahmeti Amir,,,,PG,parliamentary_group_47,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AmirAhmeti/image.jpeg,
mp_AntonQuni,Anton Quni,Quni Anton,,,,LDK,parliamentary_group_44,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_AntonQuni/image.2.jpeg,
mp_ArbenGashi,Arben Gashi,Gashi Arben,,,,LDK,parliamentary_group_44,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_ArbenGashi/image.2.jpeg,
mp_ArdianGjini,Ardian Gjini,Gjini Ardian,,,,AAK,parliamentary_group_45,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_ArdianGjini/image.2.jpeg,
mp_ArmendZemaj,Armend Zemaj,Zemaj Armend,,,,LDK,parliamentary_group_44,,,Kuvendit,chamber_2010-12-12,,,http://files.parldata.eu/kv/kuvendi/people/mp_ArmendZemaj/image.3.jpeg,
