id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
amclaughlin,Alden McLaughlin,Alden McLaughlin,,,,People’s Progressive Movement,PPM,area/george_town,George Town,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F7042E9336DF161AE0406F0A6F1F6887,
asuckoo,Alva Suckoo,Alva Suckoo,,,,People’s Progressive Movement,PPM,area/bodden_town,Bodden Town,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F704DBF48882EB7FE0406F0A6F1F0186,
aeden,Anthony Eden,Anthony Eden,,,,People’s Progressive Movement,PPM,area/bodden_town,Bodden Town,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F7042E9336F2161AE0406F0A6F1F6887,
amclean,Arden McLean,Arden McLean,,,,Independent,IND,area/east_end,East End,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F704DBF4888AEB7FE0406F0A6F1F0186,
bbush,Bernie Bush,Bernie Bush,,,,United Democratic Party,UDP,area/west_bay,West Bay,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F704DBF48892EB7FE0406F0A6F1F0186,
emiller,D Ezzard Miller,D Ezzard Miller,,,,Independent,IND,area/north_side,North Side,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F704DBF4889AEB7FE0406F0A6F1F0186,
ktibbetts,D Kurt Tibbetts,D Kurt Tibbetts,,,,People’s Progressive Movement,PPM,area/george_town,George Town,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F7042E93370B161AE0406F0A6F1F6887,
eebanks,Eugene Ebanks,Eugene Ebanks,,,,United Democratic Party,UDP,area/west_bay,West Bay,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F7042E9336D6161AE0406F0A6F1F6887,
jhew,Joseph Hew,Joseph Hew,,,,People’s Progressive Movement,PPM,area/george_town,George Town,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F704DBF488A3EB7FE0406F0A6F1F0186,
joconnorconnolly,Juliana O'Connor-Connolly,Juliana O'Connor-Connolly,,,,People’s Progressive Movement,PPM,area/cayman_brac_and_little_cayman,Cayman Brac and Little Cayman,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F7049ED6C5E6259AE0406F0A6F1F0184,
marcher,Marco Archer,Marco Archer,,,,People’s Progressive Movement,PPM,area/george_town,George Town,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F7049ED6C5EE259AE0406F0A6F1F0184,
mkirkconnell,Moses Kirkconnell,Moses Kirkconnell,,,,People’s Progressive Movement,PPM,area/cayman_brac_and_little_cayman,Cayman Brac and Little Cayman,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F7049ED6C606259AE0406F0A6F1F0184,
obodden,Osbourne Bodden,Osbourne Bodden,,,,People’s Progressive Movement,PPM,area/bodden_town,Bodden Town,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F7049ED6C60E259AE0406F0A6F1F0184,
rmctaggart,Roy McTaggart,Roy McTaggart,,,,Independent,IND,area/george_town,George Town,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F704DBF488ABEB7FE0406F0A6F1F0186,
trivers,Tara Rivers,Tara Rivers,,,,Independent,IND,area/west_bay,West Bay,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F704DBF48872EB7FE0406F0A6F1F0186,
mbush,W McKeeva Bush,W McKeeva Bush,,,,United Democratic Party,UDP,area/west_bay,West Bay,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F7049ED6C5FE259AE0406F0A6F1F0184,
wpanton,Wayne Panton,Wayne Panton,,,,People’s Progressive Movement,PPM,area/bodden_town,Bodden Town,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F704DBF4887AEB7FE0406F0A6F1F0186,
wconolly,Winston Conolly,Winston Conolly,,,,Independent,IND,area/george_town,George Town,Legislative Assembly,2013,,,http://www.gov.ky/pls/portal/url/ITEM/F704DBF488B3EB7FE0406F0A6F1F0186,
