id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
208,AIDA MERLANO REBOLLEDO,AIDA MERLANO REBOLLEDO,aida.merlano@camara.gov.co,,,Partido Conservador Colombiano,partido_conservador_colombiano,area/atlantico,ATLANTICO,Cámara de Representantes,2014,,,http://www.camara.gov.co/portal2011/images/stories/representantes/,
150,ALBEIRO VANEGAS OSORIO,ALBEIRO VANEGAS OSORIO,albeiro.vanegas@camara.gov.co,,,Partido Social De Unidad Nacional,partido_social_de_unidad_nacional,area/arauca,ARAUCA,Cámara de Representantes,2014,,,http://www.camara.gov.co/portal2011/images/stories/representantes/Resized/VANEGAS%20OSORIO%20ALBEIRO_26x35.gif,
48,ALEJANDRO CARLOS CHACON CAMARGO,ALEJANDRO CARLOS CHACON CAMARGO,,,,Partido Liberal Colombiano,partido_liberal_colombiano,area/norte_de_santander,NORTE DE SANTANDER,Cámara de Representantes,2014,,,http://www.camara.gov.co/portal2011/images/stories/representantes/Resized/CHACON%20CAMARGO%20ALEJANDRO%20CARLOS_26x35.gif,
236,ALEXANDER GARCIA RODRIGUEZ,ALEXANDER GARCIA RODRIGUEZ,alexander.garcia@camara.gov.co,,,Partido Social De Unidad Nacional,partido_social_de_unidad_nacional,area/guaviare,GUAVIARE,Cámara de Representantes,2014,,,http://www.camara.gov.co/portal2011/images/stories/representantes/,
272,ALFREDO APE CUELLO BAUTE,ALFREDO APE CUELLO BAUTE,alfredo.cuello@camara.gov.co,,,Partido Conservador Colombiano,partido_conservador_colombiano,area/cesar,CESAR,Cámara de Representantes,2014,,,http://www.camara.gov.co/portal2011/images/stories/representantes/Resized/CUELLO%20BAUTE%20ALFREDO%20APE_26x35.gif,
119,ALFREDO GUILLERMO MOLINA TRIANA,ALFREDO GUILLERMO MOLINA TRIANA,alfredo.molina@camara.gov.co,Unidosconmolina,https://www.facebook.com/molina101,Partido Social De Unidad Nacional,partido_social_de_unidad_nacional,area/cundinamarca,CUNDINAMARCA,Cámara de Representantes,2014,,,http://www.camara.gov.co/portal2011/images/stories/representantes/Resized/MOLINA%20TRIANA%20ALFREDO%20GUILLERMO_26x35.gif,
86,ALFREDO RAFAEL DELUQUE ZULETA,ALFREDO RAFAEL DELUQUE ZULETA,alfredo.deluque@camara.gov.co,,,Partido Social De Unidad Nacional,partido_social_de_unidad_nacional,area/la_guajira,LA GUAJIRA,Cámara de Representantes,2014,,,http://www.camara.gov.co/portal2011/images/stories/representantes/Resized/DELUQUE%20ZULETA%20ALFREDO%20RAFAEL_26x35.gif,
215,ALIRIO URIBE MUÑOZ,ALIRIO URIBE MUÑOZ,alirio.uribe.representante@gmail.com,,,Polo Democratico Alternativo,polo_democratico_alternativo,area/bogota,BOGOTA,Cámara de Representantes,2014,,,http://www.camara.gov.co/portal2011/images/stories/representantes/,
239,ALONSO JOSÉ DEL RIO CABARCAS,ALONSO JOSÉ DEL RIO CABARCAS,alonso.delrio@camara.gov.co,,,Partido Social De Unidad Nacional,partido_social_de_unidad_nacional,area/bolivar,BOLIVAR,Cámara de Representantes,2014,,,http://www.camara.gov.co/portal2011/images/stories/representantes/,
291,ALVARO LOPEZ GIL,ALVARO LOPEZ GIL,alvaro.lopez@camara.gov.co,,,Partido Conservador Colombiano,partido_conservador_colombiano,area/valle,VALLE,Cámara de Representantes,2014,,,http://www.camara.gov.co/portal2011/images/stories/representantes/,
