id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
240,Abraão Aníbal Fernandes Barbosa Vicente,Abraão Aníbal Fernandes Barbosa Vicente,,,,MPD,MPD,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
237,Adalberto Higino Tavares Silva,Adalberto Higino Tavares Silva,,,,MPD,MPD,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
281,Afonso Silva Mendes da Fonseca,Afonso Silva Mendes da Fonseca,,,,PAICV,PAICV,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
270,Alcídio José Gonçalves Tavares,Alcídio José Gonçalves Tavares,,,,PAICV,PAICV,area/santiago_norte,Santiago Norte,Assembleia Nacional,8,,,,
219,Alexandre José Duarte Fonseca Pacheco de Novais,Alexandre José Duarte Fonseca Pacheco de Novais,,,,PAICV,PAICV,area/são_vicente,São Vicente,Assembleia Nacional,8,,,,
238,Anilda Ineida Monteiro Tavares,Anilda Ineida Monteiro Tavares,,,,MPD,MPD,area/santiago_norte,Santiago Norte,Assembleia Nacional,8,,,,
259,António Alberto Mendes Fernandes,António Alberto Mendes Fernandes,,,,PAICV,PAICV,area/santiago_norte,Santiago Norte,Assembleia Nacional,8,,,,
205,António Delgado Monteiro,António Delgado Monteiro,,,,UCID,UCID,area/são_vicente,São Vicente,Assembleia Nacional,8,,,,
239,António Jorge Delgado,António Jorge Delgado,,,,MPD,MPD,area/são_vicente,São Vicente,Assembleia Nacional,8,,,,
256,Aristides Raimundo Lima,Aristides Raimundo Lima,,,,PAICV,PAICV,area/boa_vista,Boa Vista,Assembleia Nacional,8,,,,
217,Arlindo Nascimento do Rosário,Arlindo Nascimento do Rosário,,,,MPD,MPD,area/santo_antão,Santo Antão,Assembleia Nacional,8,,,,
265,Armindo Cipriano Maurício,Armindo Cipriano Maurício,,,,PAICV,PAICV,area/santo_antão,Santo Antão,Assembleia Nacional,8,,,,
269,Arnaldo Andrade Ramos,Arnaldo Andrade Ramos,,,,PAICV,PAICV,area/europa,Europa,Assembleia Nacional,8,,,,
231,Austelino Tavares Correia,Austelino Tavares Correia,,,,MPD,MPD,area/santiago_norte,Santiago Norte,Assembleia Nacional,8,,,,
204,Basílio Mosso Ramos,Basílio Mosso Ramos,,,,PAICV,PAICV,area/sal,Sal,Assembleia Nacional,8,,,,
266,Carlos Alberto Delgado,Carlos Alberto Delgado,,,,PAICV,PAICV,area/santo_antão,Santo Antão,Assembleia Nacional,8,,,,
241,Carlos Alberto Wahnon de Carvalho Veiga,Carlos Alberto Wahnon de Carvalho Veiga,,,,MPD,MPD,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
267,Carlos Antonio Silva Ramos,Carlos Antonio Silva Ramos,,,,PAICV,PAICV,area/são_nicolau,São Nicolau,Assembleia Nacional,8,,,,
283,Carlos Tavares Rodrigues,Carlos Tavares Rodrigues,,,,unknown,,,,Assembleia Nacional,8,,,,
274,Cláudia Sofia Marques Rodrigues,Cláudia Sofia Marques Rodrigues,,,,PAICV,PAICV,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
209,Clóvis Isildo Barbosa da Silva,Clóvis Isildo Barbosa da Silva,,,,PAICV,PAICV,area/brava,Brava,Assembleia Nacional,8,,,,
229,Cândido Rodrigues,Cândido Rodrigues,,,,MPD,MPD,area/américa,América,Assembleia Nacional,8,,,,
218,Daniel Augusto Melo Lima Évora,Daniel Augusto Melo Lima Évora,,,,MPD,MPD,area/sal,Sal,Assembleia Nacional,8,,,,
233,David Lima Gomes,David Lima Gomes,,,,MPD,MPD,area/brava,Brava,Assembleia Nacional,8,,,,
275,Dúnia Alice Monteiro Moreira de Almeida Pereira,Dúnia Alice Monteiro Moreira de Almeida Pereira,,,,PAICV,PAICV,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
212,Emanuel Alberto Duarte Barbosa,Emanuel Alberto Duarte Barbosa,,,,MPD,MPD,area/europa,Europa,Assembleia Nacional,8,,,,
253,Estêvão Barros Rodrigues,Estêvão Barros Rodrigues,,,,PAICV,PAICV,area/África,África,Assembleia Nacional,8,,,,
213,Euclides Eurico Nunes Pina,Euclides Eurico Nunes Pina,,,,PAICV,PAICV,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
276,Euclides Vaz Cardoso Centeio,Euclides Vaz Cardoso Centeio,,,,PAICV,PAICV,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
236,Eunice Andrade da Silva Spencer Lopes,Eunice Andrade da Silva Spencer Lopes,,,,MPD,MPD,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
226,Eurico Correia Monteiro,Eurico Correia Monteiro,,,,MPD,MPD,area/fogo,Fogo,Assembleia Nacional,8,,,,
228,Eva Sulamita Monteiro Caldeira Marques,Eva Sulamita Monteiro Caldeira Marques,,,,MPD,MPD,area/são_vicente,São Vicente,Assembleia Nacional,8,,,,
282,Felisberto Alves Vieira,Felisberto Alves Vieira,,,,PAICV,PAICV,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
242,Fernando Eíisio Leboucher Freire de Andrade,Fernando Eíisio Leboucher Freire de Andrade,,,,MPD,MPD,area/santiago_norte,Santiago Norte,Assembleia Nacional,8,,,,
258,Fernando Jorge Spencer Ferreira Frederico,Fernando Jorge Spencer Ferreira Frederico,,,,PAICV,PAICV,area/maio,Maio,Assembleia Nacional,8,,,,
262,Fernando Lopes Robalo,Fernando Lopes Robalo,,,,PAICV,PAICV,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
230,Filipe Baptista Gomes Furtado,Filipe Baptista Gomes Furtado,,,,MPD,MPD,area/santiago_norte,Santiago Norte,Assembleia Nacional,8,,,,
243,Filomena Mendes Gonçalves,Filomena Mendes Gonçalves,,,,MPD,MPD,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
268,Filomena de Fátima Ribeiro Vieira,Filomena de Fátima Ribeiro Vieira,,,,PAICV,PAICV,area/são_vicente,São Vicente,Assembleia Nacional,8,,,,
277,Graça Maria Lopes de Carvalho Sanches,Graça Maria Lopes de Carvalho Sanches,,,,PAICV,PAICV,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
224,Hermes Silva Santos,Hermes Silva Santos,,,,PAICV,PAICV,area/são_vicente,São Vicente,Assembleia Nacional,8,,,,
214,Humberto André Cardoso Duarte,Humberto André Cardoso Duarte,,,,MPD,MPD,area/são_vicente,São Vicente,Assembleia Nacional,8,,,,
244,Isa Filomena Pereira Soares da Costa,Isa Filomena Pereira Soares da Costa,,,,MPD,MPD,area/santiago_sul,Santiago Sul,Assembleia Nacional,8,,,,
245,Janine Tatiana Santos Lélis,Janine Tatiana Santos Lélis,,,,MPD,MPD,area/sal,Sal,Assembleia Nacional,8,,,,
246,Joana Gomes Rosa,Joana Gomes Rosa,,,,MPD,MPD,area/maio,Maio,Assembleia Nacional,8,,,,
