id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
mp_MartoAndrea, Martoandrea,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_RistaAdelina,Adelina Rista,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_DukaAgron,Agron Duka,,,Partia Republikane,party_PartiaRepublikane,,Kuvendi,chamber_VIII,,
mp_ÇelaAgron,Agron Çela,,,Partia “LSI”,party_Partia“Lsi”,,Kuvendi,chamber_VIII,,
mp_VokshiAlbana,Albana Vokshi,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_DedaAlbina,Albina Deda,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_AngjeliAnastas,Anastas Angjeli,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_ImamiArben,Arben Imami,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_NdokaArben,Arben Ndoka,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_ÇukoArben,Arben Çuko,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_TurkuArdian,Ardian Turku,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_PrengaArmando,Armando Prenga,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_SubashiArmando,Armando Subashi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_DadeArta,Arta Dade,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_GaçiArtan,Artan Gaçi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_PatoziAstrit,Astrit Patozi,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_VeliajAstrit,Astrit Veliaj,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_FinoBashkim,Bashkim Fino,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_HoxhaBedri,Bedri Hoxha,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_BlushiBen,Ben Blushi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_BarajBesnik,Besnik Baraj,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_DushajBesnik,Besnik Dushaj,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_KlosiBlendi,Blendi Klosi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_KllogjriBujar,Bujar Kllogjri,,,Partia “LSI”,party_Partia“Lsi”,,Kuvendi,chamber_VIII,,
mp_PezaDashamir,Dashamir Peza,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_ShehiDashamir,Dashamir Shehi,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_TahiriDashamir,Dashamir Tahiri,,,"Partia Drejtësi, Integrim dhe Unitet",party_PartiaDrejtësiIntegrimDheUnitet,,Kuvendi,chamber_VIII,,
mp_BushatiDitmir,Ditmir Bushati,,,Unknown,_unknown,,Kuvendi,chamber_VIII,,
mp_PalokaEdi,Edi Paloka,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_RamaEdi,Edi Rama,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_SpahoEdmond,Edmond Spaho,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_ShalsiEduard,Eduard Shalsi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_QiriciEleina,Eleina Qirici,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_BraçeErion,Erion Braçe,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_FelajErmonela,Ermonela Felaj,,,Unknown,_unknown,,Kuvendi,chamber_VIII,,
mp_ShkjauEsmeralda,Esmeralda Shkjau,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_KushiEvis,Evis Kushi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_MediuFatmir,Fatmir Mediu,,,Unknown,_unknown,,Kuvendi,chamber_VIII,,
mp_ToçiFatmir,Fatmir Toçi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_XhafajFatmir,Fatmir Xhafaj,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_YlliFidel,Fidel Ylli,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_NokaFlamur,Flamur Noka,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_MimaFlorjon,Florjon Mima,,,Unknown,_unknown,,Kuvendi,chamber_VIII,,
mp_PolloGenc,Genc Pollo,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_StrazimiriGent,Gent Strazimiri,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_BejkoGentian,Gentian Bejko,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_BogdaniGerti,Gerti Bogdani,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_PapaGjergji,Gjergji Papa,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_BzhetajGjovalin,Gjovalin Bzhetaj,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_RehovicaGledjon,Gledjon Rehovica,,,Partia “LSI”,party_Partia“Lsi”,,Kuvendi,chamber_VIII,,
mp_RuçiGramoz,Gramoz Ruçi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_KosovaHalim,Halim Kosova,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_BushatiHelidon,Helidon Bushati,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_CaraIgli,Igli Cara,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_XhakolliIlir,Ilir Xhakolli,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_TabakuJorida,Jorida Tabaku,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_IslamiKastriot,Kastriot Islami,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_SpahiuKlodiana,Klodiana Spahiu,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_DashiKozma,Kozma Dashi,,,Unknown,_unknown,,Kuvendi,chamber_VIII,,
mp_ElmaziLiljana,Liljana Elmazi,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_DuzhaLuan,Luan Duzha,,,Partia Republikane,party_PartiaRepublikane,,Kuvendi,chamber_VIII,,
mp_XhuvaniLuiza,Luiza Xhuvani,,,Unknown,_unknown,,Kuvendi,chamber_VIII,,
mp_BoçiLuçiano,Luçiano Boçi,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_BufiMajlinda,Majlinda Bufi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_BreguMajlindaPhd,Majlinda PHD Bregu,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_DodaMesila,Mesila Doda,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_HafiziMimoza,Mimoza Hafizi,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_RiraMiranda,Miranda Rira,,,Partia “LSI”,party_Partia“Lsi”,,Kuvendi,chamber_VIII,,
mp_KryemadhiMonika,Monika Kryemadhi,,,Partia “LSI”,party_Partia“Lsi”,,Kuvendi,chamber_VIII,,
mp_UlqiniMusa,Musa Ulqini,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_TafajMyqerem,Myqerem Tafaj,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_DokleNamik,Namik Dokle,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_KoplikuNamik,Namik Kopliku,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_NdokaNard,Nard Ndoka,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_BylykbashiOerd,Oerd Bylykbashi,,,Partia Demokratike,party_PartiaDemokratike,,Kuvendi,chamber_VIII,,
mp_XhaçkaOlta,Olta Xhaçka,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_MajkoPandeli,Pandeli Majko,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_CaraParid,Parid Cara,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_SterkajPaulin,Paulin Sterkaj,,,Partia Socialiste,party_PartiaSocialiste,,Kuvendi,chamber_VIII,,
mp_VasiliPetrit,Petrit Vasili,,,Partia “LSI”,party_Partia“Lsi”,,Kuvendi,chamber_VIII,,
