id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
D000018,Alfonse D'Amato,"D'Amato, Alfonse",,,,Republican,republican,ocd-division/country:us/state:ny,New York,Senate,105,,,https://theunitedstates.io/images/congress/original/D000018.jpg,male
S000709,Arlen Specter,"Specter, Arlen",,,,Republican,republican,ocd-division/country:us/state:pa,Pennsylvania,Senate,105,,,https://theunitedstates.io/images/congress/original/S000709.jpg,male
M000702,Barbara A. Mikulski,"Mikulski, Barbara",,SenatorBarb,SenatorMikulski,Democrat,democrat,ocd-division/country:us/state:md,Maryland,Senate,105,,,https://theunitedstates.io/images/congress/original/M000702.jpg,female
B000711,Barbara Boxer,"Boxer, Barbara",,SenatorBoxer,senatorboxer,Democrat,democrat,ocd-division/country:us/state:ca,California,Senate,105,,,https://theunitedstates.io/images/congress/original/B000711.jpg,female
C000077,Ben Campbell,"Campbell, Ben",,,,Republican,republican,ocd-division/country:us/state:co,Colorado,Senate,105,,,https://theunitedstates.io/images/congress/original/C000077.jpg,male
F000439,Bill Frist,"Frist, William",,,,Republican,republican,ocd-division/country:us/state:tn,Tennessee,Senate,105,,,https://theunitedstates.io/images/congress/original/F000439.jpg,male
G000352,Bob Graham,"Graham, Bob",,,,Democrat,democrat,ocd-division/country:us/state:fl,Florida,Senate,105,,,https://theunitedstates.io/images/congress/original/G000352.jpg,male
S000606,Bob Smith,"Smith, Robert",,,,Republican,republican,ocd-division/country:us/state:nh,New Hampshire,Senate,105,1997-01-07,,https://theunitedstates.io/images/congress/original/S000606.jpg,male
D000432,Byron Dorgan,"Dorgan, Byron",,,,Democrat,democrat,ocd-division/country:us/state:nd,North Dakota,Senate,105,,,https://theunitedstates.io/images/congress/original/D000432.jpg,male
L000261,Carl Levin,"Levin, Carl",,,,Democrat,democrat,ocd-division/country:us/state:mi,Michigan,Senate,105,1997-01-07,,https://theunitedstates.io/images/congress/original/L000261.jpg,male
M001025,Carol Moseley Braun,"Moseley Braun, Carol",,,,Democrat,democrat,ocd-division/country:us/state:il,Illinois,Senate,105,,,https://theunitedstates.io/images/congress/original/M001025.jpg,female
R000295,Charles Robb,"Robb, Charles",,,,Democrat,democrat,ocd-division/country:us/state:va,Virginia,Senate,105,,,https://theunitedstates.io/images/congress/original/R000295.jpg,male
D000388,Christopher Dodd,"Dodd, Christopher",,,,Democrat,democrat,ocd-division/country:us/state:ct,Connecticut,Senate,105,,,https://theunitedstates.io/images/congress/original/D000388.jpg,male
G000386,Chuck Grassley,"Grassley, Charles",,ChuckGrassley,grassley,Republican,republican,ocd-division/country:us/state:ia,Iowa,Senate,105,,,https://theunitedstates.io/images/congress/original/G000386.jpg,male
H001028,Chuck Hagel,"Hagel, Charles",,,,Republican,republican,ocd-division/country:us/state:ne,Nebraska,Senate,105,1997-01-07,,https://theunitedstates.io/images/congress/original/H001028.jpg,male
M000019,"Connie Mack, III","Mack, Connie",,,,Republican,republican,ocd-division/country:us/state:fl,Florida,Senate,105,,,https://theunitedstates.io/images/congress/original/M000019.jpg,male
B001126,Conrad Burns,"Burns, Conrad",,,,Republican,republican,ocd-division/country:us/state:mt,Montana,Senate,105,,,https://theunitedstates.io/images/congress/original/B001126.jpg,male
T000162,Craig Thomas,"Thomas, Craig",,,,Republican,republican,ocd-division/country:us/state:wy,Wyoming,Senate,105,,,https://theunitedstates.io/images/congress/original/T000162.jpg,male
B001057,Dale Bumpers,"Bumpers, Dale",,,,Democrat,democrat,ocd-division/country:us/state:ar,Arkansas,Senate,105,,,https://theunitedstates.io/images/congress/original/B001057.jpg,male
C000542,Daniel Coats,"Coats, Daniel",,SenDanCoats,180671148633644,Republican,republican,ocd-division/country:us/state:in,Indiana,Senate,105,,,https://theunitedstates.io/images/congress/original/C000542.jpg,male
A000069,Daniel K. Akaka,"Akaka, Daniel",,,,Democrat,democrat,ocd-division/country:us/state:hi,Hawaii,Senate,105,,,https://theunitedstates.io/images/congress/original/A000069.jpg,male
I000025,Daniel K. Inouye,"Inouye, Daniel",,,,Democrat,democrat,ocd-division/country:us/state:hi,Hawaii,Senate,105,,,https://theunitedstates.io/images/congress/original/I000025.jpg,male
M001054,Daniel Moynihan,"Moynihan, Daniel",,,,Democrat,democrat,ocd-division/country:us/state:ny,New York,Senate,105,,,https://theunitedstates.io/images/congress/original/M001054.jpg,male
F000062,Dianne Feinstein,"Feinstein, Dianne",,SenFeinstein,senatorfeinstein,Democrat,democrat,ocd-division/country:us/state:ca,California,Senate,105,,,https://theunitedstates.io/images/congress/original/F000062.jpg,female
K000088,Dirk Kempthorne,"Kempthorne, Dirk",,,,Republican,republican,ocd-division/country:us/state:id,Idaho,Senate,105,,,https://theunitedstates.io/images/congress/original/K000088.jpg,male
N000102,Don Nickles,"Nickles, Don",,,,Republican,republican,ocd-division/country:us/state:ok,Oklahoma,Senate,105,,,https://theunitedstates.io/images/congress/original/N000102.jpg,male
M001085,Frank Murkowski,"Murkowski, Frank",,,,Republican,republican,ocd-division/country:us/state:ak,Alaska,Senate,105,,,https://theunitedstates.io/images/congress/original/M001085.jpg,male
L000123,Frank R. Lautenberg,"Lautenberg, Frank",,,,Democrat,democrat,ocd-division/country:us/state:nj,New Jersey,Senate,105,,,https://theunitedstates.io/images/congress/original/L000123.jpg,male
T000457,Fred Thompson,"Thompson, Fred",,,,Republican,republican,ocd-division/country:us/state:tn,Tennessee,Senate,105,1997-01-07,,https://theunitedstates.io/images/congress/original/T000457.jpg,male
H000725,Fritz Hollings,"Hollings, Ernest",,,,Democrat,democrat,ocd-division/country:us/state:sc,South Carolina,Senate,105,,,https://theunitedstates.io/images/congress/original/H000725.jpg,male
S001142,Gordon Smith,"Smith, Gordon",,,,Republican,republican,ocd-division/country:us/state:or,Oregon,Senate,105,1997-01-07,,https://theunitedstates.io/images/congress/original/S001142.jpg,male
