id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date
4L6,Senator Alan Eggleston,senator.eggleston@aph.gov.au,,Liberal Party of Australia,liberal_party_of_australia,Western Australia,senate,44,,
204953,Senator Alex Gallacher,senator.gallacher@aph.gov.au,,Australian Labor Party,australian_labor_party,South Australia,senate,44,,
e5e,Senator Anne McEwen,senator.mcewen@aph.gov.au,,Australian Labor Party,australian_labor_party,South Australia,senate,44,,
243273,Senator Anne Ruston,,,Liberal Party of Australia,liberal_party_of_australia,South Australia,senate,44,,
231199,Senator Anne Urquhart,senator.urquhart@aph.gov.au,,Australian Labor Party,australian_labor_party,Tasmania,senate,44,,
247871,Senator Barry O'Sullivan,,,The Nationals,the_nationals,Queensland,senate,44,,
HYG,Senator Bob Day AO,senator.day@aph.gov.au,http://www.twitter.com/senatorbobday,Family First Party,family_first_party,South Australia,senate,44,,
207825,Senator Bridget McKenzie,senator.mckenzie@aph.gov.au,,The Nationals,the_nationals,Victoria,senate,44,,
F49,Senator Carol Brown,senator.carol.brown@aph.gov.au,,Australian Labor Party,australian_labor_party,Tasmania,senate,44,,
HZB,Senator Catryna Bilyk,,,Australian Labor Party,australian_labor_party,Tasmania,senate,44,,
J7Q,Senator Chris Back,,,Liberal Party of Australia,liberal_party_of_australia,Western Australia,senate,44,,
244247,Senator Chris Ketter,,,Australian Labor Party,australian_labor_party,Queensland,senate,44,,
ka5,Senator Christine Milne,senator.milne@aph.gov.au,,Australian Greens,australian_greens,Tasmania,senate,44,,
00AOQ,Senator Claire Moore,,,Australian Labor Party,australian_labor_party,Queensland,senate,44,,
G0D,Senator Cory Bernardi,,,Liberal Party of Australia,liberal_party_of_australia,South Australia,senate,44,,
HLL,Senator David Bushby,,,Liberal Party of Australia,liberal_party_of_australia,Tasmania,senate,44,,
DYU,Senator David Fawcett,senator.fawcett@aph.gov.au,,Liberal Party of Australia,liberal_party_of_australia,South Australia,senate,44,,
111206,Senator David Leyonhjelm,senator.leyonhjelm@aph.gov.au,https://twitter.com/DavidLeyonhjelm,Liberal Democratic Party,liberal_democratic_party,New South Wales,senate,44,,
241710,Senator Dean Smith,senator.smith@aph.gov.au,,Liberal Party of Australia,liberal_party_of_australia,Western Australia,senate,44,,
140651,Senator Deborah O'Neill,,,Australian Labor Party,australian_labor_party,New South Wales,senate,44,,
00AOP,Senator Gavin Marshall,senator.marshall@aph.gov.au,,Australian Labor Party,australian_labor_party,Victoria,senate,44,,
108616,Senator Glenn Lazarus,,,Independent,independent,Queensland,senate,44,,
e68,Senator Glenn Sterle,senator.sterle@aph.gov.au,,Australian Labor Party,australian_labor_party,Western Australia,senate,44,,
G1N,Senator Helen Kroger,,,Liberal Party of Australia,liberal_party_of_australia,Victoria,senate,44,,
e5x,Senator Helen Polley,senator.polley@aph.gov.au,,Australian Labor Party,australian_labor_party,Tasmania,senate,44,,
250026,Senator Jacqui Lambie,,,Independent,independent,Tasmania,senate,44,,
217241,Senator James McGrath,,http://twitter.com/JamesMcGrathLNP,Liberal Party of Australia,liberal_party_of_australia,Queensland,senate,44,,
155410,Senator Janet Rice,senator.rice@aph.gov.au,http://twitter.com/janet_rice,Australian Greens,australian_greens,Victoria,senate,44,,
121628,Senator Jenny McAllister,,,Australian Labor Party,australian_labor_party,New South Wales,senate,44,,
258337,Senator Jo Lindgren,,,Liberal Party of Australia,liberal_party_of_australia,Queensland,senate,44,,
243237,Senator Joe Bullock,senator.bullock@aph.gov.au,,Australian Labor Party,australian_labor_party,Western Australia,senate,44,,
217571,Senator John Madigan,senator.madigan@aph.gov.au,,Independent,independent,Victoria,senate,44,,
I0V,Senator John Williams,,,The Nationals,the_nationals,New South Wales,senate,44,,
ING,Senator Katy Gallagher,senator.katy.gallagher@aph.gov.au,,Australian Labor Party,australian_labor_party,Australian Capital Territory,senate,44,,
192970,Senator Larissa Waters,senator.waters@aph.gov.au,,Australian Greens,australian_greens,Queensland,senate,44,,
CPR,Senator Lee Rhiannon,senator.rhiannon@aph.gov.au,,Australian Greens,australian_greens,New South Wales,senate,44,,
250216,Senator Linda Reynolds CSC,senator.reynolds@aph.gov.au,,Liberal Party of Australia,liberal_party_of_australia,Western Australia,senate,44,,
I0T,Senator Louise Pratt,,,Australian Labor Party,australian_labor_party,Western Australia,senate,44,,
2L6,Senator Mark Bishop,senator.bishop@aph.gov.au,,Australian Labor Party,australian_labor_party,Western Australia,senate,44,,
I0P,Senator Mark Furner,,,Australian Labor Party,australian_labor_party,Queensland,senate,44,,
245212,Senator Matthew Canavan,senator.canavan@aph.gov.au,,The Nationals,the_nationals,Queensland,senate,44,,
249499,Senator Mehmet Tillem,,,Australian Labor Party,australian_labor_party,Victoria,senate,44,,
8IV,Senator Nick Xenophon,senator.xenophon@aph.gov.au,,Independent,independent,South Australia,senate,44,,
CDK,Senator Nova Peris OAM,,,Australian Labor Party,australian_labor_party,Northern Territory,senate,44,,
200287,Senator Penny Wright,senator.wright@aph.gov.au,http://www.twitter.com/pennywrites,Australian Greens,australian_greens,South Australia,senate,44,,
195565,Senator Peter Whish-Wilson,senator.whish-wilson@aph.gov.au,https://twitter.com/SenatorSurfer,Australian Greens,australian_greens,Tasmania,senate,44,,
e5z,Senator Rachel Siewert,senator.siewert@aph.gov.au,,Australian Greens,australian_greens,Western Australia,senate,44,,
53369,Senator Richard Di Natale,senator.dinatale@aph.gov.au,http://www.twitter.com/RichardDiNatale,Australian Greens,australian_greens,Victoria,senate,44,,
250024,Senator Ricky Muir,,https://twitter.com/Ricky_Muir,Australian Motoring Enthusiast Party,australian_motoring_enthusiast_party,Victoria,senate,44,,
225099,Senator Sam Dastyari,,,Australian Labor Party,australian_labor_party,New South Wales,senate,44,,
I0U,Senator Sarah Hanson-Young,senator.hanson-young@aph.gov.au,,Australian Greens,australian_greens,South Australia,senate,44,,
I07,Senator Scott Ludlam,senator.ludlam@aph.gov.au,,Australian Greens,australian_greens,Western Australia,senate,44,,
225307,Senator Sean Edwards,senator.edwards@aph.gov.au,https://twitter.com/SeanC_Edwards,Liberal Party of Australia,liberal_party_of_australia,South Australia,senate,44,,
