id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
5960,Adam Rykala,"Rykala, Adam",,,,Poslanecký klub České strany sociálně demokratické,863,,,Chamber of Deputies,6,2010-06-04,,,male
5916,Alena Hanáková,"Hanáková, Alena",,,,Poslanecký klub TOP 09 a Starostové,865,,,Chamber of Deputies,6,2010-06-10,,https://upload.wikimedia.org/wikipedia/commons/3/30/Hanakova.jpg,female
5307,Alexander Černý,"Černý, Alexander",,,,Poslanecký klub Občanské demokratické strany,1106,,,Chamber of Deputies,6,,2010-06-03,,male
5307,Alexander Černý,"Černý, Alexander",,,,Poslanecký klub Komunistické strany Čech a Moravy,866,,,Chamber of Deputies,6,2010-06-02,,,male
5959,Aleš Roztočil,"Roztočil, Aleš",,,,Poslanecký klub TOP 09 a Starostové,865,,,Chamber of Deputies,6,2010-06-10,,,male
5495,Aleš Rádl,"Rádl, Aleš",,,,Poslanecký klub Občanské demokratické strany,753,,,Chamber of Deputies,6,,2010-06-03,,male
5495,Aleš Rádl,"Rádl, Aleš",,,,Poslanecký klub Občanské demokratické strany,864,,,Chamber of Deputies,6,2010-05-30,,,male
5317,Alfréd Michalík,"Michalík, Alfréd",,,,Poslanecký klub České strany sociálně demokratické,750,,,Chamber of Deputies,6,,2010-06-03,https://upload.wikimedia.org/wikipedia/commons/1/1d/Alfréd_Michalík_2013.JPG,male
5317,Alfréd Michalík,"Michalík, Alfréd",,,,Poslanecký klub České strany sociálně demokratické,863,,,Chamber of Deputies,6,2010-06-04,,https://upload.wikimedia.org/wikipedia/commons/1/1d/Alfréd_Michalík_2013.JPG,male
5957,Anna Putnová,"Putnová, Anna",,,,Poslanecký klub TOP 09 a Starostové,865,,,Chamber of Deputies,6,2010-06-10,,https://upload.wikimedia.org/wikipedia/commons/2/20/Anna_putnova.jpg,female
5310,Antonín Seďa,"Seďa, Antonín",,,,Poslanecký klub Občanské demokratické strany,1106,,,Chamber of Deputies,6,,2010-06-03,,male
5310,Antonín Seďa,"Seďa, Antonín",,,,Poslanecký klub České strany sociálně demokratické,863,,,Chamber of Deputies,6,2010-06-04,,,male
237,Bohuslav Sobotka,"Sobotka, Bohuslav",,,,Poslanecký klub České strany sociálně demokratické,750,,,Chamber of Deputies,6,,2010-06-03,"https://upload.wikimedia.org/wikipedia/commons/6/67/Bohuslav_Sobotka,_Grill_párty,_Brno-Bystrc_(5).jpg",male
237,Bohuslav Sobotka,"Sobotka, Bohuslav",,,,Poslanecký klub České strany sociálně demokratické,863,,,Chamber of Deputies,6,2010-06-04,,"https://upload.wikimedia.org/wikipedia/commons/6/67/Bohuslav_Sobotka,_Grill_párty,_Brno-Bystrc_(5).jpg",male
5512,Boris Šťastný,"Šťastný, Boris",,,,Poslanecký klub Občanské demokratické strany,753,,,Chamber of Deputies,6,,2010-06-03,https://upload.wikimedia.org/wikipedia/commons/0/03/Boris_Šťastný_2013.JPG,male
5512,Boris Šťastný,"Šťastný, Boris",,,,Poslanecký klub Občanské demokratické strany,864,,,Chamber of Deputies,6,2010-05-30,,https://upload.wikimedia.org/wikipedia/commons/0/03/Boris_Šťastný_2013.JPG,male
5972,Bořivoj Šarapatka,"Šarapatka, Bořivoj",,,,Poslanecký klub TOP 09 a Starostové,865,,,Chamber of Deputies,6,2010-06-10,,,male
410,Břetislav Petr,"Petr, Břetislav",,,,Poslanecký klub České strany sociálně demokratické,750,,,Chamber of Deputies,6,,2010-06-03,https://upload.wikimedia.org/wikipedia/commons/4/4d/Břetislav_Petr_2013.JPG,male
410,Břetislav Petr,"Petr, Břetislav",,,,Poslanecký klub České strany sociálně demokratické,863,,,Chamber of Deputies,6,2012-02-07,,https://upload.wikimedia.org/wikipedia/commons/4/4d/Břetislav_Petr_2013.JPG,male
5415,Cyril Zapletal,"Zapletal, Cyril",,,,Poslanecký klub České strany sociálně demokratické,750,,,Chamber of Deputies,6,,2010-06-03,https://upload.wikimedia.org/wikipedia/commons/0/0f/Cyril_Zapletal.jpg,male
5415,Cyril Zapletal,"Zapletal, Cyril",,,,Poslanecký klub České strany sociálně demokratické,863,,,Chamber of Deputies,6,2010-06-04,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Cyril_Zapletal.jpg,male
5946,Dagmar Navrátilová,"Navrátilová, Dagmar",,,,Poslanecký klub Věci veřejné,867,,,Chamber of Deputies,6,2010-05-31,2012-04-18,https://upload.wikimedia.org/wikipedia/commons/b/b4/Dagmar_Navrátilová.jpg,female
5946,Dagmar Navrátilová,"Navrátilová, Dagmar",,,,Nezařazení,1065,,,Chamber of Deputies,6,2012-04-18,,https://upload.wikimedia.org/wikipedia/commons/b/b4/Dagmar_Navrátilová.jpg,female
5460,Dana Filipi,"Filipi, Dana",,,,Poslanecký klub Občanské demokratické strany,753,,,Chamber of Deputies,6,,2010-06-03,https://upload.wikimedia.org/wikipedia/commons/8/89/Dana_Filipi_2010.JPG,female
5460,Dana Filipi,"Filipi, Dana",,,,Poslanecký klub Občanské demokratické strany,864,,,Chamber of Deputies,6,2010-05-30,,https://upload.wikimedia.org/wikipedia/commons/8/89/Dana_Filipi_2010.JPG,female
5979,Dana Váhalová,"Váhalová, Dana",,,,Poslanecký klub České strany sociálně demokratické,863,,,Chamber of Deputies,6,2010-06-04,,,female
5939,Daniel Korte,"Korte, Daniel",,,,Poslanecký klub TOP 09 a Starostové,865,,,Chamber of Deputies,6,2010-06-10,,https://upload.wikimedia.org/wikipedia/commons/6/6d/Daniel-Korte.jpg,male
5933,David Kádner,"Kádner, David",,,,Poslanecký klub Věci veřejné,867,,,Chamber of Deputies,6,2010-05-31,,https://upload.wikimedia.org/wikipedia/commons/1/18/David_Kádner.jpg,male
5406,David Rath,"Rath, David",,,,Poslanecký klub České strany sociálně demokratické,750,,,Chamber of Deputies,6,,2010-06-03,https://upload.wikimedia.org/wikipedia/commons/b/bf/David_Rath.jpg,male
5406,David Rath,"Rath, David",,,,Poslanecký klub České strany sociálně demokratické,863,,,Chamber of Deputies,6,2010-06-04,2012-05-16,https://upload.wikimedia.org/wikipedia/commons/b/bf/David_Rath.jpg,male
5406,David Rath,"Rath, David",,,,Nezařazení,1065,,,Chamber of Deputies,6,2012-05-16,,https://upload.wikimedia.org/wikipedia/commons/b/bf/David_Rath.jpg,male
5982,David Vodrážka,"Vodrážka, David",,,,Poslanecký klub Občanské demokratické strany,864,,,Chamber of Deputies,6,2010-05-30,,https://upload.wikimedia.org/wikipedia/commons/3/36/David_Vodrážka.jpg,male
5301,David Šeich,"Šeich, David",,,,Poslanecký klub Občanské demokratické strany,753,,,Chamber of Deputies,6,,2010-06-03,https://upload.wikimedia.org/wikipedia/commons/e/eb/David_Seich.JPG,male
5301,David Šeich,"Šeich, David",,,,Poslanecký klub Občanské demokratické strany,864,,,Chamber of Deputies,6,2010-05-30,,https://upload.wikimedia.org/wikipedia/commons/e/eb/David_Seich.JPG,male
5383,František Bublan,"Bublan, František",,,,Poslanecký klub ANO 2011,1108,,,Chamber of Deputies,6,,2010-06-03,https://upload.wikimedia.org/wikipedia/commons/8/88/Frantisek_Bublan_in_2012.JPG,male
5383,František Bublan,"Bublan, František",,,,Poslanecký klub České strany sociálně demokratické,863,,,Chamber of Deputies,6,2010-06-04,2012-10-20,https://upload.wikimedia.org/wikipedia/commons/8/88/Frantisek_Bublan_in_2012.JPG,male
5453,František Dědič,"Dědič, František",,,,Poslanecký klub Občanské demokratické strany,753,,,Chamber of Deputies,6,,2010-06-03,,male
5453,František Dědič,"Dědič, František",,,,Poslanecký klub Občanské demokratické strany,864,,,Chamber of Deputies,6,2010-05-30,,,male
5476,František Laudát,"Laudát, František",,,,Poslanecký klub Občanské demokratické strany,753,,,Chamber of Deputies,6,,2010-06-03,https://upload.wikimedia.org/wikipedia/commons/5/5a/František_Laudát_2014.JPG,male
5476,František Laudát,"Laudát, František",,,,Poslanecký klub TOP 09 a Starostové,865,,,Chamber of Deputies,6,2010-06-10,,https://upload.wikimedia.org/wikipedia/commons/5/5a/František_Laudát_2014.JPG,male
5485,František Novosad,"Novosad, František",,,,Poslanecký klub České strany sociálně demokratické,750,,,Chamber of Deputies,6,,2010-06-03,,male
5485,František Novosad,"Novosad, František",,,,Poslanecký klub České strany sociálně demokratické,863,,,Chamber of Deputies,6,2010-06-04,,,male
5501,František Sivera,"Sivera, František",,,,Poslanecký klub Občanské demokratické strany,753,,,Chamber of Deputies,6,,2010-06-03,https://upload.wikimedia.org/wikipedia/commons/a/aa/Frantisek_Sivera_2010.JPG,male
5501,František Sivera,"Sivera, František",,,,Poslanecký klub Občanské demokratické strany,864,,,Chamber of Deputies,6,2010-05-30,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Frantisek_Sivera_2010.JPG,male
5920,Gabriela Hubáčková,"Hubáčková, Gabriela",,,,Poslanecký klub Komunistické strany Čech a Moravy,866,,,Chamber of Deputies,6,2010-06-02,,,female
5469,Gabriela Kalábková,"Kalábková, Gabriela",,,,Poslanecký klub České strany sociálně demokratické,750,,,Chamber of Deputies,6,,2010-06-03,https://upload.wikimedia.org/wikipedia/commons/a/a6/Gabriela_Kalábková.JPG,female
5469,Gabriela Kalábková,"Kalábková, Gabriela",,,,Poslanecký klub České strany sociálně demokratické,863,,,Chamber of Deputies,6,2013-04-05,,https://upload.wikimedia.org/wikipedia/commons/a/a6/Gabriela_Kalábková.JPG,female
5955,Gabriela Pecková,"Pecková, Gabriela",,,,Poslanecký klub TOP 09 a Starostové,865,,,Chamber of Deputies,6,2010-06-10,,,female
