id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
AIS,Alf Ivar Samuelsen,"Samuelsen, Alf Ivar",,,,Senterpartiet,Sp,No,Nordland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=AIS&storrelse=middels,male
ANA,Anders Anundsen,"Anundsen, Anders",,,,Fremskrittspartiet,FrP,Ve,Vestfold,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=ANA&storrelse=middels,male
ANNS,André N. Skjelstad,"Skjelstad, André N.",,,,Venstre,V,NT,Nord-Trøndelag,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=ANNS&storrelse=middels,male
ADA,André Oktay Dahl,"Dahl, André Oktay",,,,Høyre,H,Ak,Akershus,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=ADA&storrelse=middels,male
ATR,Anette Trettebergstuen,"Trettebergstuen, Anette",,,,Arbeiderpartiet,A,He,Hedmark,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=ATR&storrelse=middels,female
ALJ,Anna Ljunggren,"Ljunggren, Anna",,,,Arbeiderpartiet,A,No,Nordland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=ALJ&storrelse=middels,female
ANML,Anne Margrethe Larsen,"Larsen, Anne Margrethe",,,,Venstre,V,VA,Vest-Agder,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=ANML&storrelse=middels,female
ANMB,Anne Marit Bjørnflaten,"Bjørnflaten, Anne Marit",,,,Arbeiderpartiet,A,Tr,Troms,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=ANMB&storrelse=middels,female
ANS,Anne-Grete Strøm-Erichsen,"Strøm-Erichsen, Anne-Grete",,,,Arbeiderpartiet,A,Ho,Hordaland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=ANS&storrelse=middels,female
ANNH,Anniken Huitfeldt,"Huitfeldt, Anniken",,,,Arbeiderpartiet,A,Ak,Akershus,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=ANNH&storrelse=middels,female
AESO,Arne Sortevik,"Sortevik, Arne",,,,Fremskrittspartiet,FrP,Ho,Hordaland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=AESO&storrelse=middels,male
ASK,Asmund Kristoffersen,"Kristoffersen, Asmund",,,,Arbeiderpartiet,A,MR,Møre og Romsdal,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=ASK&storrelse=middels,male
BEHA,Bendiks H. Arnesen,"Arnesen, Bendiks H.",,,,Arbeiderpartiet,A,Tr,Troms,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=BEHA&storrelse=middels,male
BENH,Bent Høie,"Høie, Bent",,,,Høyre,H,Ro,Rogaland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=BENH&storrelse=middels,male
BB,Berit Brørby,"Brørby, Berit",,,,Arbeiderpartiet,A,Op,Oppland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=BB&storrelse=middels,female
BHH,Bjarne Håkon Hanssen,"Hanssen, Bjarne Håkon",,,,Arbeiderpartiet,A,NT,Nord-Trøndelag,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=BHH&storrelse=middels,male
BJT,Bjørg Tørresdal,"Tørresdal, Bjørg",,,,Kristelig Folkeparti,KrF,Ro,Rogaland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=BJT&storrelse=middels,female
BJ,Bjørn Jacobsen,"Jacobsen, Bjørn",,,,Sosialistisk Venstreparti,SV,MR,Møre og Romsdal,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=BJ&storrelse=middels,male
BT,Borghild Tenden,"Tenden, Borghild",,,,Venstre,V,Ak,Akershus,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=BT&storrelse=middels,female
BHI,Britt Hildeng,"Hildeng, Britt",,,,Arbeiderpartiet,A,Os,Oslo,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=BHI&storrelse=middels,female
BÅH,Bård Hoksrud,"Hoksrud, Bård",,,,Fremskrittspartiet,FrP,Te,Telemark,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=BÅH&storrelse=middels,male
BJØB,Børge Brende,"Brende, Børge",,,,Høyre,H,ST,Sør-Trøndelag,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=BJØB&storrelse=middels,male
CIH,Carl I. Hagen,"Hagen, Carl I.",,,,Fremskrittspartiet,FrP,Os,Oslo,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=CIH&storrelse=middels,male
CT,Christian Tybring-Gjedde,"Tybring-Gjedde, Christian",,,,Fremskrittspartiet,FrP,Os,Oslo,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=CT&storrelse=middels,male
DTA,Dag Terje Andersen,"Andersen, Dag Terje",,,,Arbeiderpartiet,A,Ve,Vestfold,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=DTA&storrelse=middels,male
DH,Dagfinn Høybråten,"Høybråten, Dagfinn",,,,Kristelig Folkeparti,KrF,Ro,Rogaland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=DH&storrelse=middels,male
ESF,Eirin Faldet,"Faldet, Eirin",,,,Arbeiderpartiet,A,He,Hedmark,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=ESF&storrelse=middels,female
EKS,Eirin Sund,"Sund, Eirin",,,,Arbeiderpartiet,A,Ro,Rogaland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=EKS&storrelse=middels,female
ESO,Eli Sollied Øveraas,"Øveraas, Eli Sollied",,,,Senterpartiet,Sp,MR,Møre og Romsdal,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=ESO&storrelse=middels,female
EAS,Elisabeth Aspaker,"Aspaker, Elisabeth",,,,Høyre,H,Tr,Troms,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=EAS&storrelse=middels,female
ES,Erna Solberg,"Solberg, Erna",,,,Høyre,H,Ho,Hordaland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=ES&storrelse=middels,female
EJ,Espen Granberg Johnsen,"Johnsen, Espen Granberg",,,,Arbeiderpartiet,A,Op,Oppland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=EJ&storrelse=middels,male
EVH,Eva Kristin Hansen,"Hansen, Eva Kristin",,,,Arbeiderpartiet,A,ST,Sør-Trøndelag,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=EVH&storrelse=middels,female
EVNI,Eva M. Nielsen,"Nielsen, Eva M.",,,,Arbeiderpartiet,A,Fi,Finnmark,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=EVNI&storrelse=middels,female
FMV,Finn Martin Vallersnes,"Vallersnes, Finn Martin",,,,Høyre,H,Ro,Rogaland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=FMV&storrelse=middels,male
FR,Freddy de Ruiter,"de Ruiter, Freddy",,,,Arbeiderpartiet,A,AA,Aust-Agder,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=FR&storrelse=middels,male
GJK,Gerd Janne Kristoffersen,"Kristoffersen, Gerd Janne",,,,Arbeiderpartiet,A,NT,Nord-Trøndelag,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=GJK&storrelse=middels,female
GJH,Gjermund Hagesæter,"Hagesæter, Gjermund",,,,Fremskrittspartiet,FrP,Ho,Hordaland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=GJH&storrelse=middels,male
GKG,Gunn Karin Gjul,"Gjul, Gunn Karin",,,,Arbeiderpartiet,A,ST,Sør-Trøndelag,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=GKG&storrelse=middels,female
GUO,Gunn Olsen,"Olsen, Gunn",,,,Arbeiderpartiet,A,Te,Telemark,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=GUO&storrelse=middels,female
GAG,Gunnar Gundersen,"Gundersen, Gunnar",,,,Høyre,H,He,Hedmark,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=GAG&storrelse=middels,male
GKV,Gunnar Kvassheim,"Kvassheim, Gunnar",,,,Venstre,V,Ro,Rogaland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=GKV&storrelse=middels,male
GUNL,Gunvald Ludvigsen,"Ludvigsen, Gunvald",,,,Venstre,V,SF,Sogn og Fjordane,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=GUNL&storrelse=middels,male
GUE,Gunvor Eldegard,"Eldegard, Gunvor",,,,Arbeiderpartiet,A,Ak,Akershus,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=GUE&storrelse=middels,female
HHL,Hallgeir H. Langeland,"Langeland, Hallgeir H.",,,,Sosialistisk Venstreparti,SV,Ro,Rogaland,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=HHL&storrelse=middels,male
HAFA,Hans Frode Kielland Asmyhr,"Asmyhr, Hans Frode Kielland",,,,Fremskrittspartiet,FrP,Ak,Akershus,Storting,2005-2009,,,http://data.stortinget.no/eksport/personbilde?personid=HAFA&storrelse=middels,male
