id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
aleksandar-nikoloski,Aleksandar Nikoloski,,,,VMRO-DPMNE,vmro-dpmne,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Aleksandar-Nikolovski.jpg,
aleksandar-stojkoski,Aleksandar Stojkoski,,,,VMRO-DPMNE,vmro-dpmne,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Aleksandar-Stojkovski.jpg,
ali-ahmeti,Ali Ahmeti,,,,Democratic Union for Integration,democratic_union_for_integration,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Ali--Ahmeti.jpg,
alim-bilali,Alim Bilali,,,,VMRO-DPMNE,vmro-dpmne,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/AlimBilali.jpg,
amdi-bajram,Amdi Bajram,,,,Union of Roma of Macedonia,union_of_roma_of_macedonia,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Amdi-Bajram.jpg,
andon-cibisev,Andon Cibisev,,,,VMRO-DPMNE,vmro-dpmne,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Andon-Chibishev.jpg,
ane-laskoska,Ane Laskoska,,,,VMRO-DPMNE,vmro-dpmne,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Ane-Laskoska.jpg,
antonijo-milososki,Antonijo Milososki,,,,VMRO-DPMNE,vmro-dpmne,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Antonio-Milosevski.jpg,
artan-grubi,Artan Grubi,,,,Democratic Union for Integration,democratic_union_for_integration,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%2520sliki%252014-18/A.Grubi.jpg,
avdija-pepik,Avdija Pepik,,,,Party for Democratic Action of Macedonia,party_for_democratic_action_of_macedonia,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Avdija-Pepic.jpg,
bekim-fazliu,Bekim Fazliu,,,,Democratic Party of Albanians,democratic_party_of_albanians,,,Sobranie,2014,,,http://www.sobranie.mk/content/images/pratenici%2520sliki%252014-18/Bekim-Fazliu.jpg,
blagica-lasovska,Blagica Lasovska,,,,VMRO-DPMNE,vmro-dpmne,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Blagica-Lasovska.jpg,
blagoja-despotovski,Blagoja Despotovski,,,,VMRO-DPMNE,vmro-dpmne,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Blagoja-Despotovski.jpg,
blagorodna-bojadzieva,Blagorodna Bojadzieva,,,,VMRO-DPMNE,vmro-dpmne,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/B.Bojadzieva.jpg,
chedomir-sazdovski,Chedomir Sazdovski,,,,GROM,grom,,,Sobranie,2014,,,http://sobranie.mk/content/images/pratenici%20sliki%2014-18/Cedomir-Sazdovski.jpg,
