id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
845,Alfred GHIRO,,,,Democratic Alliance Party,democratic_alliance_party,area/east_makira,East Makira,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Alfred_Ghiro.JPG,
859,Andrew MANEPORA'A,,,,Kadare Party of Solomon Islands,kadare_party_of_solomon_islands,area/east_are_are,East Are Are,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Andrew%20Manepora'a.jpg,
bartholomew_parapolo,Bartholomew PARAPOLO,,,,Independent,independent,area/ngella,Ngella,National Parliament,10,,,,
bradley_tovosia,Bradley TOVOSIA,,,,Independent,independent,area/east_guadalcanal,East Guadalcanal,National Parliament,10,,,,
871,Charles SIGOTO,,,,Independent,independent,area/rannogga/simbo,Rannogga/Simbo,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Charles%20Sigoto.jpg,
856,Christopher LAORE,,,,Independent,independent,area/shortlands,Shortlands,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Christopher%20Laore.jpg,
861,Commins Aston MEWA,,,,Independent,independent,area/temotu_nende,Temotu Nende,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Commins%20Aston%20Mewa.jpg,
867,Connelly Matthew SANDAKABATU,,,,Democratic Alliance Party,democratic_alliance_party,area/north_west_choiseul,North West Choiseul,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Connelly%20Sandakabatu.jpg,
culwick_togamana,Culwick TOGAMANA,,,,Independent,independent,area/maringe/kokota,Maringe/Kokota,National Parliament,10,,,,
865,Danny Phillip,,,,United Democratic Party,united_democratic_party,area/south_new_georgia_r_&t,South New Georgia R &T,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Danny%20Philip.jpg,
876,David Tome WANESIOFA,,,,Independent,independent,area/baegu/asifola,Baegu/Asifola,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics%5CHon.%20David%20Tome.jpg,
863,David day PACHA,,,,Independent,independent,area/south_guadalcanal,South Guadalcanal,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/memberpics/pacha.jpg,
derek_rawcliff_manu'ari,Derek Rawcliff MANU'ARI,,,,Solomon Islands People First Party,solomon_islands_people_first_party,area/west_makira,West Makira,National Parliament,10,,,,
872,Derek SIKUA,,,,Independent,independent,area/north_east_guadalcanal,North East Guadalcanal,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Dr.%20Derek%20Sikua.JPG,
503,Dettke Horst Heinz BODO,,,,Independent,independent,area/north_west_guadalcanal,North West Guadalcanal,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Bodo%20Dettke.jpg,
864,Dickson Mua PANAKITASI,,,,Independent,independent,area/russells_and_savo,Russells and Savo,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Dickson%20Mua.jpg,
532,Douglas ETE,,,,Independent,independent,area/east_honiara,East Honiara,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Douglas_Ete.JPG,
916,Dudley KOPU,,,,Independent,independent,area/temotu_pele,Temotu Pele,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Duddley%20Kopu.JPG,
862,Elijah Doro MUALA,,,,Independent,independent,area/south_choiseul,South Choiseul,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Elijah%20Doro%20Muala.jpg,
fredaab_tuki_soria_comua,FredaAB Tuki Soria COMUA,,,,People's Alliance Party,people's_alliance_party,area/temotu_vatud,Temotu Vatud,National Parliament,10,,,,
848,Ishmael Mali AVUI,,,,United Democratic Party,united_democratic_party,area/east_central_guadalcanal,East Central Guadalcanal,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Ismael_Avui.jpg,
506,Jackson FIULAUA,,,,Independent,independent,area/central_kwara'ae,Central Kwara'ae,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Jackson_Fiulaua.JPG,
935,Jeremiah MANELE,,,,Democratic Alliance Party,democratic_alliance_party,area/hograno/kia/havulei,Hograno/Kia/Havulei,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Jeremiah%20Manele.jpg,
929,Jimmy LUSIBAEA,,,,Independent,independent,area/north_malaita,North Malaita,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Jimmy%20Lusibaea.jpg,
jimson_fiau_tanangada,Jimson Fiau TANANGADA,,,,United Democratic Party,united_democratic_party,area/gizo/kolombangara,Gizo/Kolombangara,National Parliament,10,,,,
920,John Dean KUKU,,,,Independent,independent,area/north_new_georgia,North New Georgia,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_John_Dean_Kuku.JPG,
858,John MANENIARU,,,,Independent,independent,area/west_are_are,West Are Are,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20John%20Mane.jpg,
507,John Moffat FUGUI,,,,Independent,independent,area/central_honiara,Central Honiara,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Moffat_Fugui.JPG,
930,Maeue Augustine AGA,,,,Independent,independent,area/lau/mbaelelea,Lau/Mbaelelea,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Augustine%20Auga.JPG,
846,Manasseh Damukana SOGAVARE,,,,Independent,independent,area/east_choiseul,East Choiseul,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Manasseh%20Sogavare.JPG,
857,Manasseh MAELANGA,,,,Independent,independent,area/east_malaita,East Malaita,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Manasseh%20Maelanga.jpg,
855,Martin KEALOE,,,,Independent,independent,area/malaita_outer_islands,Malaita Outer Islands,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Martin%20Kealoe.jpg,
matthew_c_wale,Matthew C WALE,,,,Independent,independent,area/aoke_langalanga,Aoke Langalanga,National Parliament,10,,,,
milner_tozaka,Milner TOZAKA,,,,People's Alliance Party,people's_alliance_party,area/north_vella_la_vella,North Vella La Vella,National Parliament,10,,,,
521,Moses GARU,,,,Democratic Alliance Party,democratic_alliance_party,area/west_guadalcanal,West Guadalcanal,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Moses_Garu.JPG,
namson_tran,Namson TRAN,,,,Independent,independent,area/west_honiara,West Honiara,National Parliament,10,,,,
851,Nestor GIRO,,,,Independent,independent,area/central_makira,Central Makira,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Nesto_Ghiro.JPG,
591,Peter Shanel AGOVAKA,,,,Independent,independent,area/central_guadalcanal,Central Guadalcanal,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Peter_Shanel_Agovaka.JPG,
875,Peter TOM,,,,Democratic Alliance Party,democratic_alliance_party,area/west_kwaio,West Kwaio,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/memberpics/tom.jpg,
866,Qora Alex LIONAL,,,,Independent,independent,area/south_vella_la_vella,South Vella La Vella,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Lionel%20Alex.jpg,
852,Rick Nelson HOUENIPWELA,,,,Democratic Alliance Party,democratic_alliance_party,area/small_malaita,Small Malaita,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Rick_Houenipwela.JPG,
853,Sam Shemuel IDURI,,,,Democratic Alliance Party,democratic_alliance_party,area/west_kwara'ae,West Kwara'ae,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20ShemuelSam%20Iduri.jpg,
860,Sameul MANETOALI,,,,Independent,independent,area/gao/bogotu,Gao/Bogotu,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon_Samuel_Manetoali.JPG,
931,Samson MANEKA,,,,United Democratic Party,united_democratic_party,area/north_guadalcanal,North Guadalcanal,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Sam%20Maneka.JPG,
874,Silas Kerry Vaqara TAUSINGA,,,,Solomon Islands Party for Rural Advancement,solomon_islands_party_for_rural_advancement,area/west_new_georgia_-_vona_vona,West New Georgia - Vona Vona,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Silas%20Tausinga.JPG,
849,Snyder RINI,,,,Independent,independent,area/marovo,Marovo,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles%5Cmemberpics%5Crini.jpg,
873,Stanley Festus SOFU,,,,Independent,independent,area/east_kwaio,East Kwaio,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/memberpics/sofu.jpg,
592,Steve ABANA,,,,Independent,independent,area/fataleka,Fataleka,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/9th_Parliament/memberpics/Hon.%20Steve%20Abana.jpg,
915,Tautai Agikimua KAITU'U,,,,United Democratic Party,united_democratic_party,area/rennell-bellona,Rennell-Bellona,National Parliament,10,,,http://www.parliament.gov.sb/memberfiles/10th_Parliament/memberpics/Hon.%20Dr.%20Tautai%20Angikimua%20Kaitu%E2%80%99u.jpg,
willie_bradford_marau,Willie Bradford MARAU,,,,People's Alliance Party,people's_alliance_party,area/ulawa/ugi,Ulawa/Ugi,National Parliament,10,,,,
