id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
43e8c0fb-0bc0-4c92-8c1e-9e75dd96defe,Denzil Douglas,Denzil Douglas,,,,Saint Kitts and Nevis Labour Party,saint_kitts_and_nevis_labour_party,area/st_christopher_#6,St Christopher #6,National Assembly,2015,,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Denzil_L_Douglas.jpg,male
8fae7645-96ce-46b0-a1d1-6b757ab6a0e7,Eugene Hamilton,Eugene Hamilton,,,,People's Action Movement,people's_action_movement,area/st_christopher_#8,St Christopher #8,National Assembly,2015,,,,male
8bc42a88-b304-4997-88e9-768629516c75,Ian Liburd,Ian Liburd,,,,People's Action Movement,people's_action_movement,area/st_christopher_#1,St Christopher #1,National Assembly,2015,,,,
68545c96-0859-486a-8bc0-39f8aa8d4e41,Konris Maynard,Konris Maynard,,,,Saint Kitts and Nevis Labour Party,saint_kitts_and_nevis_labour_party,area/st_christopher_#3,St Christopher #3,National Assembly,2015,,,,male
c04e8aa2-cf86-4c82-a6a3-0334edb08241,Lindsay Grant,Lindsay Grant,,,,People's Action Movement,people's_action_movement,area/st_christopher_#4,St Christopher #4,National Assembly,2015,,,,male
a6386cf6-a19d-4a05-9a40-e87dd6eea17b,Marcella Liburd,Marcella Liburd,,,,Saint Kitts and Nevis Labour Party,saint_kitts_and_nevis_labour_party,area/st_christopher_#2,St Christopher #2,National Assembly,2015,,,,
886e92df-972a-49eb-8d0c-90dcfcd6f3bc,Mark Brantley,Mark Brantley,,,,Concerned Citizens' Movement,concerned_citizens'_movement,area/nevis_#9,Nevis #9,National Assembly,2015,,,,
0bafe581-3be5-4a6e-ba8d-af27af59d52c,Patrice Nisbett,Patrice Nisbett,,,,Nevis Reformation Party,nevis_reformation_party,area/nevis_#11,Nevis #11,National Assembly,2015,,,,male
089e7090-25fb-4b1d-8717-566b05d4cd83,Shawn Richards,Shawn Richards,,,,People's Action Movement,people's_action_movement,area/st_christopher_#5,St Christopher #5,National Assembly,2015,,,,male
aa563b45-3b13-4f78-97e4-0815f7834a78,Timothy Harris,Timothy Harris,,,,People's Labour Party,people's_labour_party,area/st_christopher_#7,St Christopher #7,National Assembly,2015,,,https://upload.wikimedia.org/wikipedia/commons/8/85/TimothyHarris.jpg,male
6241ddf8-a0d7-4680-8022-ffd4cbe35acc,Vance Amory,Vance Amory,,,,Concerned Citizens' Movement,concerned_citizens'_movement,area/nevis_#10,Nevis #10,National Assembly,2015,,,,male
