id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
apisai_ielemia,Apisai Ielemia,,,,unknown,unknown,ocd-division/country:tv/constituency:vaitupu,Vaitupu,Parliament,11,,,,
elisala_pita,Elisala Pita,,,,unknown,unknown,ocd-division/country:tv/constituency:nukufetau,Nukufetau,Parliament,11,,,,
enele_sopoaga,Enele Sopoaga,,,,unknown,unknown,ocd-division/country:tv/constituency:nukufetau,Nukufetau,Parliament,11,,,,
fauoa_maani,Fauoa Maani,,,,unknown,unknown,ocd-division/country:tv/constituency:niutao,Niutao,Parliament,11,,,,
kamuta_latasi,Kamuta Latasi,,,,unknown,unknown,ocd-division/country:tv/constituency:funafuti,Funafuti,Parliament,11,,,,
kausea_natano,Kausea Natano,,,,unknown,unknown,ocd-division/country:tv/constituency:funafuti,Funafuti,Parliament,11,,,,
maatia_toafa,Maatia Toafa,,,,unknown,unknown,ocd-division/country:tv/constituency:nanumea,Nanumea,Parliament,11,,,,
mackenzie_kiritome,Mackenzie Kiritome,,,,unknown,unknown,ocd-division/country:tv/constituency:nui,Nui,Parliament,11,,,,
monise_lafai,Monise Lafai,,,,unknown,unknown,ocd-division/country:tv/constituency:nanumanga,Nanumanga,Parliament,11,,,,
namoliki_sualiki,Namoliki Sualiki,,,,unknown,unknown,ocd-division/country:tv/constituency:nukulaelae,Nukulaelae,Parliament,11,,,,
otinielu_tausi,Otinielu Tausi,,,,unknown,unknown,ocd-division/country:tv/constituency:nanumanga,Nanumanga,Parliament,11,,,,
puakena_boreham,Puakena Boreham,,,,unknown,unknown,ocd-division/country:tv/constituency:nui,Nui,Parliament,11,,,,
samuelu_teo,Samuelu Teo,,,,unknown,unknown,ocd-division/country:tv/constituency:niutao,Niutao,Parliament,11,,,,
satini_manuella,Satini Manuella,,,,unknown,unknown,ocd-division/country:tv/constituency:nanumea,Nanumea,Parliament,11,,,,
taukelina_finikaso,Taukelina Finikaso,,,,unknown,unknown,ocd-division/country:tv/constituency:vaitupu,Vaitupu,Parliament,11,,,,
