id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
adam-abramowicz-(polityk),Adam Abramowicz,Adam Abramowicz,,,,Klub Parlamentarny Prawo i Sprawiedliwość,klub_parlamentarny_prawo_i_sprawiedliwość,7-7,Województwo lubelskie 7,Sejm,7,,,,male
adam-hofman,Adam Hofman,Adam Hofman,,,,Posłowie niezrzeszeni,posłowie_niezrzeszeni,37-7,Województwo wielkopolskie 37,Sejm,7,,,https://upload.wikimedia.org/wikipedia/commons/6/63/Adam_Hofman_Sejm_05.JPG,male
adam-jarubas,Adam Jarubas,Adam Jarubas,,,,Klub Parlamentarny Polskiego Stronnictwa Ludowego,klub_parlamentarny_polskiego_stronnictwa_ludowego,33-7,Województwo świętokrzyskie 33,Sejm,7,,2011-10-25,,male
adam-kwiatkowski-(polityk),Adam Kwiatkowski,Adam Kwiatkowski,,,,Klub Parlamentarny Prawo i Sprawiedliwość,klub_parlamentarny_prawo_i_sprawiedliwość,19-7,Województwo mazowieckie 19,Sejm,7,,,,male
adam-kępiński,Adam Kępiński,Adam Kępiński,,,,Klub Poselski Sojusz Lewicy Demokratycznej,klub_poselski_sojusz_lewicy_demokratycznej,21-7,Województwo opolskie 21,Sejm,7,,,,male
adam-lipiński,Adam Lipiński,Adam Lipiński,,,,Klub Parlamentarny Prawo i Sprawiedliwość,klub_parlamentarny_prawo_i_sprawiedliwość,1-7,Województwo dolnośląskie 1,Sejm,7,,,,male
adam-rogacki,Adam Rogacki,Adam Rogacki,,,,Posłowie niezrzeszeni,posłowie_niezrzeszeni,36-7,Województwo wielkopolskie 36,Sejm,7,,,,male
adam-rybakowicz,Adam Rybakowicz,Adam Rybakowicz,,,,Koło Poselskie Ruch Palikota,koło_poselskie_ruch_palikota,24-7,Województwo podlaskie 24,Sejm,7,,,,male
adam-szejnfeld,Adam Szejnfeld,Adam Szejnfeld,,,,Klub Parlamentarny Platforma Obywatelska,klub_parlamentarny_platforma_obywatelska,38-7,Województwo wielkopolskie 38,Sejm,7,,2014-05-27,https://upload.wikimedia.org/wikipedia/commons/f/f8/Adam_Szejnfeld_(cropped).jpg,male
adam-Żyliński,Adam Żyliński,Adam Żyliński,,,,Klub Parlamentarny Platforma Obywatelska,klub_parlamentarny_platforma_obywatelska,34-7,Województwo warmińsko-mazurskie 34,Sejm,7,,2014-12-02,,male
agnieszka-hanajczyk,Agnieszka Hanajczyk,Agnieszka Hanajczyk,,,,Klub Parlamentarny Platforma Obywatelska,klub_parlamentarny_platforma_obywatelska,11-7,Województwo łódzkie 11,Sejm,7,,,https://upload.wikimedia.org/wikipedia/commons/b/b5/Sejm_7.11.2012_08.JPG,female
