id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
abdulkerim_yılmaz_erdem,Abdulkerim Yılmaz Erdem,Abdulkerim Yılmaz Erdem,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
abdullah_Çakırefe,Abdullah Çakırefe,Abdullah Çakırefe,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
abdurrahman_bozkır,Abdurrahman Bozkır,Abdurrahman Bozkır,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
abdurrahman_demirtaş,Abdurrahman Demirtaş,Abdurrahman Demirtaş,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
abdurrahman_necati_kara'a,Abdurrahman Necati Kara'a,Abdurrahman Necati Kara'a,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
adana,Adana,Adana,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
adıyaman,Adıyaman,Adıyaman,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
afyonkarahisar,Afyonkarahisar,Afyonkarahisar,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ahmet_cevdet_karslı,Ahmet Cevdet Karslı,Ahmet Cevdet Karslı,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,male
ahmet_ekici,Ahmet Ekici,Ahmet Ekici,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ahmet_kemal_aydar,Ahmet Kemal Aydar,Ahmet Kemal Aydar,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,male
ahmet_memduh_yaşa,Ahmet Memduh Yaşa,Ahmet Memduh Yaşa,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,male
ahmet_remzi_Çerçi,Ahmet Remzi Çerçi,Ahmet Remzi Çerçi,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ahmet_sabahattin_Özbek,Ahmet Sabahattin Özbek,Ahmet Sabahattin Özbek,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ahmet_sarp,Ahmet Sarp,Ahmet Sarp,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,male
ahmet_süter,Ahmet Süter,Ahmet Süter,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ahmet_sırrı_Özbek,Ahmet Sırrı Özbek,Ahmet Sırrı Özbek,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ahmet_turan_soğancıoğlu,Ahmet Turan Soğancıoğlu,Ahmet Turan Soğancıoğlu,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ahmet_Şevket_gedik,Ahmet Şevket Gedik,Ahmet Şevket Gedik,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,male
akın_gönen,Akın Gönen,Akın Gönen,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ali_ayhan_Çetin,Ali Ayhan Çetin,Ali Ayhan Çetin,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ali_aşkın_toktaş,Ali Aşkın Toktaş,Ali Aşkın Toktaş,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ali_dizdaroğlu,Ali Dizdaroğlu,Ali Dizdaroğlu,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ali_hüsrev_bozer,Ali Hüsrev Bozer,Ali Hüsrev Bozer,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ali_mazhar_haznedar,Ali Mazhar Haznedar,Ali Mazhar Haznedar,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,male
ali_rıfkı_atasever,Ali Rıfkı Atasever,Ali Rıfkı Atasever,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ali_rıza_akaydın,Ali Rıza Akaydın,Ali Rıza Akaydın,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,
ali_tanrıyar,Ali Tanrıyar,Ali Tanrıyar,,,,Anavatan Partisi,ANAP,,,Grand National Assembly,17,,,,male
